Percentage	Tests_Executed	Functions_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	6	111	210	41.92
2	13	115	304	27.92
3	20	123	380	22.84
4	26	123	423	19.71
5	33	130	511	18.60
6	40	130	558	16.83
7	46	130	603	15.80
8	53	130	658	14.85
9	60	130	692	13.86
10	67	134	739	13.31
11	73	136	790	13.06
12	80	136	840	12.68
13	87	137	905	12.53
14	93	137	944	12.22
15	100	137	968	11.69
16	107	137	1005	11.34
17	113	137	1034	11.03
18	120	137	1066	10.73
19	127	138	1104	10.51
20	134	138	1147	10.36
21	140	142	1174	10.16
22	147	142	1209	9.97
23	154	142	1249	9.83
24	160	142	1298	9.83
25	167	143	1348	9.78
26	174	143	1386	9.65
27	180	143	1418	9.53
28	187	143	1468	9.49
29	194	143	1498	9.34
30	201	143	1519	9.15
31	207	143	1541	9.01
32	214	143	1576	8.91
33	221	143	1615	8.84
34	227	143	1637	8.73
35	234	143	1689	8.73
36	241	143	1717	8.62
37	247	143	1742	8.53
38	254	143	1775	8.45
39	261	143	1808	8.37
40	268	143	1849	8.33
41	274	143	1874	8.25
42	281	143	1908	8.19
43	288	143	1940	8.12
44	294	143	1968	8.08
45	301	143	1991	7.99
46	308	143	2019	7.91
47	314	143	2050	7.88
48	321	143	2080	7.83
49	328	143	2108	7.77
50	335	143	2135	7.71
51	341	143	2170	7.70
52	348	143	2200	7.65
53	355	143	2227	7.59
54	361	143	2258	7.56
55	368	143	2284	7.50
56	375	143	2309	7.44
57	381	143	2332	7.40
58	388	143	2360	7.35
59	395	146	2396	7.33
60	402	146	2421	7.28
61	408	146	2441	7.23
62	415	147	2472	7.20
63	422	147	2492	7.14
64	428	147	2525	7.13
65	435	147	2554	7.10
66	442	147	2581	7.06
67	448	147	2598	7.01
68	455	147	2623	6.97
69	462	147	2646	6.92
70	469	147	2674	6.89
71	475	147	2698	6.86
72	482	147	2719	6.82
73	489	147	2748	6.79
74	495	147	2770	6.76
75	502	147	2795	6.73
76	509	147	2822	6.70
77	515	147	2846	6.68
78	522	147	2872	6.65
79	529	147	2904	6.64
80	536	147	2927	6.60
81	542	148	2965	6.62
82	549	148	2990	6.59
83	556	148	3021	6.58
84	562	148	3052	6.57
85	569	148	3081	6.55
86	576	148	3107	6.53
87	582	148	3128	6.50
88	589	148	3152	6.47
89	596	148	3171	6.43
90	603	148	3197	6.41
91	609	148	3224	6.40
92	616	148	3247	6.38
93	623	148	3278	6.36
94	629	148	3295	6.34
95	636	148	3326	6.32
96	643	148	3345	6.29
97	649	148	3371	6.28
98	656	148	3399	6.27
99	663	148	3420	6.24
100	670	148	3450	6.22
