Percentage	Tests_Executed	Functions_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	8	130	198	52.94
2	16	130	319	44.31
3	24	130	372	35.03
4	32	130	473	32.55
5	40	130	555	30.49
6	48	130	603	27.62
7	56	130	648	25.42
8	64	130	858	27.78
9	72	130	896	25.79
10	80	130	946	24.71
11	88	130	999	23.89
12	97	130	1081	23.59
13	105	130	1112	22.47
14	113	130	1152	21.72
15	121	130	1198	21.32
16	129	130	1226	20.52
17	137	130	1281	20.24
18	145	130	1327	19.82
19	153	130	1385	19.57
20	161	130	1409	19.01
21	169	130	1436	18.45
22	177	130	1488	18.29
23	186	130	1529	17.83
24	194	130	1576	17.66
25	202	130	1611	17.40
26	210	130	1639	17.12
27	218	130	1658	16.69
28	226	130	1710	16.65
29	234	130	1732	16.33
30	242	130	1755	15.98
31	250	130	1788	15.82
32	258	130	1813	15.57
33	266	130	1868	15.56
34	275	130	1890	15.25
35	283	130	1903	14.93
36	291	130	1935	14.77
37	299	130	1961	14.63
38	307	130	1976	14.36
39	315	130	2006	14.22
40	323	130	2032	14.07
41	331	130	2055	13.89
42	339	130	2072	13.67
43	347	130	2097	13.51
44	355	130	2110	13.28
45	364	130	2160	13.25
46	372	130	2183	13.10
47	380	130	2198	12.93
48	388	130	2208	12.70
49	396	130	2215	12.48
50	404	130	2224	12.30
51	412	130	2253	12.18
52	420	130	2298	12.21
53	428	130	2327	12.15
54	436	130	2345	12.01
55	444	130	2357	11.87
56	453	130	2366	11.67
57	461	130	2376	11.52
58	469	130	2392	11.42
59	477	130	2411	11.32
60	485	130	2420	11.17
61	493	130	2434	11.06
62	501	130	2448	10.97
63	509	130	2456	10.83
64	517	130	2461	10.71
65	525	130	2473	10.59
66	533	130	2501	10.56
67	542	130	2515	10.43
68	550	130	2532	10.33
69	558	130	2555	10.29
70	566	130	2593	10.30
71	574	130	2603	10.19
72	582	130	2615	10.10
73	590	130	2624	9.99
74	598	130	2640	9.93
75	606	130	2670	9.90
76	614	130	2684	9.81
77	622	130	2692	9.71
78	631	130	2710	9.65
79	639	130	2728	9.60
80	647	130	2741	9.54
81	655	130	2753	9.45
82	663	130	2768	9.39
83	671	130	2770	9.28
84	679	130	2785	9.21
85	687	130	2795	9.13
86	695	130	2805	9.05
87	703	130	2814	8.97
88	711	130	2840	8.96
89	720	130	2853	8.89
90	728	130	2855	8.80
91	736	130	2863	8.74
92	744	130	2880	8.69
93	752	130	2902	8.67
94	760	130	2926	8.65
95	768	130	2939	8.60
96	776	130	2952	8.55
97	784	130	2968	8.52
98	792	130	2974	8.46
99	800	130	2976	8.38
100	809	130	2987	8.32
