Percentage	Tests_Executed	Functions_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	2	35	46	62.16
2	4	35	66	43.71
3	6	47	126	49.03
4	8	47	143	42.94
5	10	47	158	38.63
6	12	47	171	35.33
7	14	47	184	32.97
8	17	47	205	30.46
9	19	47	219	29.36
10	21	47	230	28.01
11	23	47	243	27.09
12	25	48	272	27.36
13	27	48	284	26.57
14	29	48	295	25.76
15	32	48	319	25.34
16	34	48	331	24.81
17	36	48	341	24.20
18	38	48	352	23.72
19	40	48	361	23.13
20	42	48	372	22.77
21	44	58	408	23.80
22	47	58	429	23.46
23	49	58	440	23.13
24	51	58	457	23.05
25	53	58	469	22.80
26	55	58	479	22.48
27	57	58	509	22.88
28	59	58	520	22.62
29	62	59	547	22.66
30	64	59	558	22.42
31	66	61	571	22.41
32	68	61	593	22.42
33	70	61	602	22.13
34	72	61	610	21.81
35	74	61	621	21.62
36	77	61	636	21.31
37	79	62	647	21.21
38	81	62	656	20.99
39	83	62	666	20.83
40	85	62	675	20.63
41	87	63	695	20.81
42	89	63	704	20.61
43	92	63	718	20.35
44	94	63	727	20.18
45	96	63	737	20.04
46	98	63	751	19.99
47	100	63	772	20.04
48	102	63	781	19.89
49	104	63	844	20.85
50	107	63	860	20.74
51	109	63	874	20.70
52	111	63	881	20.49
53	113	63	888	20.29
54	115	63	907	20.39
55	117	63	917	20.27
56	119	63	926	20.13
57	121	63	935	20.00
58	124	63	962	20.10
59	126	63	971	19.98
60	128	66	985	19.95
61	130	67	1001	19.94
62	132	68	1015	19.98
63	134	68	1041	20.09
64	136	68	1051	19.99
65	139	69	1074	19.99
66	141	69	1083	19.88
67	143	69	1107	20.05
68	145	69	1116	19.94
69	147	69	1149	20.15
70	149	69	1181	20.38
71	151	69	1203	20.50
72	154	69	1237	20.57
73	156	69	1245	20.45
74	158	69	1261	20.45
75	160	69	1271	20.36
76	162	69	1294	20.42
77	164	71	1315	20.48
78	166	71	1325	20.39
79	169	71	1351	20.38
80	171	71	1363	20.31
81	173	71	1375	20.26
82	175	71	1383	20.15
83	177	71	1399	20.17
84	179	71	1421	20.21
85	181	71	1451	20.34
86	184	71	1473	20.34
87	186	71	1484	20.28
88	188	71	1493	20.20
89	190	71	1503	20.16
90	192	71	1512	20.08
91	194	71	1522	20.01
92	196	71	1544	20.09
93	199	71	1558	19.98
94	201	71	1580	20.02
95	203	71	1589	19.94
96	205	71	1596	19.84
97	207	71	1604	19.75
98	209	71	1612	19.67
99	211	71	1620	19.59
100	214	71	1631	19.47
