Percentage	Tests_Executed	Functions_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	1	4	1161	100.00
2	2	12	2692	75.15
3	3	42	4179	66.75
4	4	64	5319	60.96
5	5	112	8290	63.47
6	6	135	9369	60.80
7	7	150	10219	58.06
8	8	222	13197	58.41
9	9	222	13412	55.06
10	11	267	14288	51.89
11	12	270	14400	49.72
12	13	290	17047	49.98
13	14	405	19718	50.46
14	15	408	19866	49.46
15	16	408	19939	47.62
16	17	408	20006	45.88
17	18	417	20996	45.11
18	19	449	22392	45.00
19	20	458	22484	44.24
20	22	493	24444	43.12
21	23	510	24943	42.36
22	24	527	25188	41.73
23	25	586	25737	40.66
24	26	606	26303	40.05
25	27	613	26426	39.53
26	28	628	26667	39.00
27	29	639	27299	38.46
28	30	639	27323	37.57
29	31	650	27651	37.20
30	33	664	28338	36.49
31	34	666	28356	36.10
32	35	667	28543	35.79
33	36	668	29012	35.59
34	37	671	29199	35.12
35	38	671	29242	34.58
36	39	688	29926	34.38
37	40	718	31845	34.82
38	41	736	32053	34.35
39	42	753	32629	34.14
40	44	783	33022	33.45
41	45	785	33256	33.02
42	46	805	33810	32.87
43	47	807	33859	32.51
44	48	833	34519	32.36
45	49	833	34579	31.94
46	50	845	34625	31.65
47	51	866	35936	31.82
48	52	867	36055	31.48
49	53	867	36484	31.14
50	55	929	38679	31.58
51	56	947	39002	31.45
52	57	959	39007	31.23
53	58	1000	40412	31.41
54	59	1020	42826	32.00
55	60	1042	43843	32.00
56	61	1042	43902	31.78
57	62	1045	44048	31.60
58	63	1052	44346	31.48
59	64	1053	44448	31.16
60	66	1056	44802	30.75
61	67	1113	48439	31.36
62	68	1127	48612	31.18
63	69	1140	49416	31.08
64	70	1153	50453	31.04
65	71	1164	50555	30.86
66	72	1165	50574	30.61
67	73	1168	51610	30.57
68	74	1168	51656	30.38
69	75	1172	52170	30.31
70	77	1186	53110	30.13
71	78	1203	53142	29.89
72	79	1220	54303	29.79
73	80	1232	54359	29.58
74	81	1240	54815	29.43
75	82	1256	55323	29.27
76	83	1259	55441	29.11
77	84	1277	56055	29.07
78	85	1281	56504	28.85
79	86	1283	56696	28.76
80	88	1304	58185	28.76
81	89	1311	58923	28.68
82	90	1313	58934	28.53
83	91	1331	59103	28.39
84	92	1351	60819	28.54
85	93	1351	61005	28.31
86	94	1354	61380	28.12
87	95	1364	61396	27.94
88	96	1377	61775	27.82
89	97	1381	61851	27.61
90	99	1384	62019	27.38
91	100	1398	62676	27.29
92	101	1398	62689	27.18
93	102	1401	62700	27.01
94	103	1404	62824	26.91
95	104	1410	63278	26.87
96	105	1428	63388	26.73
97	106	1437	63753	26.68
98	107	1443	64065	26.55
99	108	1443	64065	26.45
100	110	1477	66460	26.54
