Percentage	Tests_Executed	Functions_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	8	95	408	28.31
2	17	96	572	19.67
3	26	96	737	16.50
4	35	96	899	14.90
5	43	96	1018	13.68
6	52	96	1188	13.16
7	61	96	1307	12.23
8	70	96	1442	11.69
9	78	96	1538	11.22
10	87	96	1649	10.74
11	96	96	1768	10.46
12	105	97	2058	11.04
13	113	97	2173	10.88
14	122	97	2271	10.50
15	131	103	2373	10.24
16	140	103	2472	10.03
17	148	103	2571	9.86
18	157	103	2667	9.64
19	166	103	2774	9.49
20	175	104	2932	9.53
21	183	104	3026	9.42
22	192	104	3118	9.24
23	201	104	3218	9.10
24	210	104	3318	8.96
25	218	104	3397	8.84
26	227	104	3494	8.76
27	236	108	3587	8.67
28	245	108	3664	8.54
29	253	108	3736	8.44
30	262	108	3855	8.44
31	271	108	3945	8.33
32	280	108	4031	8.24
33	288	108	4113	8.15
34	297	108	4204	8.07
35	306	108	4292	7.98
36	315	108	4372	7.91
37	323	109	4484	7.92
38	332	109	4575	7.85
39	341	109	4662	7.80
40	350	109	4752	7.75
41	358	109	4844	7.75
42	367	136	4939	7.72
43	376	136	5025	7.66
44	385	136	5135	7.64
45	393	136	5208	7.59
46	402	136	5296	7.54
47	411	136	5394	7.51
48	420	136	5477	7.46
49	428	136	5560	7.43
50	437	136	5646	7.39
51	446	136	5734	7.34
52	455	136	5824	7.32
53	463	136	5901	7.28
54	472	136	6003	7.26
55	481	136	6096	7.23
56	490	136	6188	7.21
57	498	137	6291	7.22
58	507	137	6378	7.20
59	516	137	6476	7.18
60	525	137	6569	7.17
61	533	137	6645	7.13
62	542	137	6729	7.09
63	551	137	6824	7.08
64	560	137	6899	7.05
65	568	137	6977	7.03
66	577	137	7069	7.01
67	586	137	7155	6.98
68	595	137	7238	6.96
69	603	137	7318	6.96
70	612	138	7419	6.95
71	621	138	7508	6.93
72	630	138	7593	6.90
73	638	138	7672	6.88
74	647	138	7755	6.85
75	656	138	7840	6.84
76	665	138	7925	6.81
77	673	138	8004	6.80
78	682	138	8089	6.77
79	691	138	8179	6.76
80	700	138	8267	6.73
81	708	140	8353	6.73
82	717	140	8444	6.72
83	726	140	8528	6.70
84	735	140	8610	6.68
85	743	140	8689	6.67
86	752	140	8774	6.65
87	761	141	8865	6.64
88	770	141	8945	6.62
89	778	141	9014	6.60
90	787	141	9097	6.59
91	796	141	9193	6.58
92	805	141	9279	6.57
93	813	141	9359	6.55
94	822	141	9447	6.53
95	831	141	9537	6.53
96	840	141	9624	6.51
97	848	141	9698	6.50
98	857	141	9789	6.50
99	866	141	9877	6.48
100	875	141	9962	6.48
