Percentage	Tests_Executed	Functions_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	3	398	4829	70.46
2	7	915	12994	64.22
3	11	991	14628	55.63
4	15	1343	18448	52.23
5	19	1460	21379	47.99
6	23	1666	23696	42.94
7	26	1714	25160	41.01
8	30	1879	27647	38.98
9	34	1995	29867	37.39
10	38	2044	31183	35.76
11	42	2141	34255	35.31
12	46	2297	37177	34.78
13	49	2311	37510	33.75
14	53	2338	43274	34.59
15	57	2346	44641	33.87
16	61	2359	45752	32.87
17	65	2445	46380	31.87
18	69	2513	48254	31.15
19	72	2583	48527	30.11
20	76	2763	52018	30.35
21	80	2779	52751	29.26
22	84	2813	55603	28.04
23	88	2866	56524	27.18
24	92	2880	57206	26.73
25	96	2955	58172	26.28
26	99	3029	59359	26.14
27	103	3047	60514	25.78
28	107	3166	63310	25.83
29	111	3184	64364	25.47
30	115	3232	70697	26.35
31	119	3268	75714	26.99
32	122	3277	76252	26.63
33	126	3288	78707	26.63
34	130	3305	79631	26.34
35	134	3329	80220	25.97
36	138	3362	80434	25.55
37	142	3384	81463	24.96
38	145	3390	81554	24.57
39	149	3417	82164	24.23
40	153	3459	83199	23.91
41	157	3507	84077	23.60
42	161	3516	84267	23.31
43	165	3526	85261	22.92
44	168	3563	86002	22.73
45	172	3581	96535	24.29
46	176	3589	96749	23.99
47	180	3606	99605	24.12
48	184	3624	99945	23.83
49	188	3631	102712	23.95
50	192	3651	103932	23.73
51	195	3668	104514	23.60
52	199	3683	108532	23.46
53	203	3719	108677	23.04
54	207	3725	109066	22.76
55	211	3747	109930	22.63
56	215	3805	111107	22.35
57	218	3811	111457	22.10
58	222	3838	111959	21.90
59	226	3878	113111	21.67
60	230	3887	113233	21.46
61	234	3931	113667	21.33
62	238	4033	115331	21.32
63	241	4064	115606	21.15
64	245	4075	116532	20.98
65	249	4112	120979	20.95
66	253	4164	121337	20.81
67	257	4199	121933	20.60
68	261	4246	122870	20.45
69	264	4299	123103	20.31
70	268	4345	124054	20.08
71	272	4364	125013	19.95
72	276	4377	125172	19.77
73	280	4420	125980	19.66
74	284	4426	126560	19.39
75	288	4458	129006	19.28
76	291	4470	129625	19.21
77	295	4523	129843	19.02
78	299	4564	130227	18.89
79	303	4567	130452	18.76
80	307	4601	132437	18.74
81	311	4643	135677	18.85
82	314	4649	135761	18.70
83	318	4649	136036	18.45
84	322	4659	136228	18.32
85	326	4676	136844	18.16
86	330	4684	137357	17.99
87	334	4710	137981	17.88
88	337	4720	138099	17.80
89	341	4721	138393	17.63
90	345	4731	138751	17.55
91	349	4738	138823	17.45
92	353	4759	139208	17.33
93	357	4779	142548	17.45
94	360	4819	142590	17.30
95	364	4842	142655	17.20
96	368	4876	142757	17.05
97	372	4895	143911	17.02
98	376	4906	144259	16.94
99	380	4910	144329	16.81
100	384	4916	144550	16.73
