Percentage	Tests_Executed	Functions_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	3	121	191	58.59
2	7	122	260	39.22
3	11	124	328	31.91
4	14	130	381	28.82
5	18	131	471	28.19
6	22	132	528	26.23
7	25	132	567	24.88
8	29	132	615	23.49
9	33	133	679	23.08
10	37	135	726	21.94
11	40	135	757	21.16
12	44	135	806	20.43
13	48	135	861	19.98
14	51	137	930	20.35
15	55	137	1019	20.45
16	59	137	1053	19.97
17	62	137	1089	19.56
18	66	137	1123	19.09
19	70	137	1185	19.03
20	74	137	1226	18.66
21	77	137	1278	18.73
22	81	137	1308	18.39
23	85	139	1362	18.21
24	88	139	1398	17.99
25	92	139	1463	17.95
26	96	139	1491	17.67
27	99	139	1524	17.45
28	103	139	1567	17.22
29	107	139	1610	17.12
30	111	139	1649	16.87
31	114	139	1684	16.73
32	118	139	1737	16.62
33	122	139	1768	16.42
34	125	139	1823	16.50
35	129	139	1862	16.32
36	133	139	1913	16.25
37	136	139	1940	16.07
38	140	139	1974	15.91
39	144	153	2003	15.72
40	148	153	2086	15.90
41	151	153	2124	15.81
42	155	153	2157	15.69
43	159	153	2188	15.56
44	162	153	2210	15.45
45	166	153	2249	15.33
46	170	153	2301	15.34
47	173	153	2321	15.26
48	177	153	2352	15.15
49	181	153	2390	15.06
50	185	153	2426	14.94
51	188	153	2458	14.89
52	192	153	2502	14.81
53	196	153	2546	14.74
54	199	153	2586	14.72
55	203	153	2616	14.60
56	207	153	2655	14.52
57	210	153	2691	14.50
58	214	153	2719	14.40
59	218	153	2747	14.31
60	222	157	2805	14.36
61	225	157	2840	14.35
62	229	157	2899	14.37
63	233	157	2928	14.29
64	236	157	2951	14.23
65	240	157	2988	14.15
66	244	157	3027	14.09
67	247	157	3054	14.04
68	251	157	3090	14.01
69	255	157	3133	13.98
70	259	157	3164	13.92
71	262	157	3186	13.87
72	266	157	3229	13.82
73	270	157	3258	13.76
74	273	157	3289	13.72
75	277	157	3330	13.68
76	281	157	3363	13.63
77	284	157	3389	13.58
78	288	157	3434	13.59
79	292	157	3477	13.55
80	296	157	3548	13.62
81	299	157	3578	13.58
82	303	157	3620	13.55
83	307	157	3664	13.52
84	310	157	3690	13.48
85	314	157	3730	13.47
86	318	157	3762	13.42
87	321	157	3818	13.47
88	325	157	3850	13.42
89	329	157	3882	13.38
90	333	157	3914	13.33
91	336	157	3936	13.30
92	340	157	3968	13.25
93	344	157	4000	13.21
94	347	157	4015	13.16
95	351	157	4049	13.12
96	355	157	4093	13.11
97	358	157	4113	13.06
98	362	157	4157	13.05
99	366	157	4182	13.00
100	370	157	4216	12.97
