Percentage	Tests_Executed	Functions_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	1	401	3968	100.00
2	2	508	4555	77.05
3	3	564	4681	56.35
4	4	606	5117	49.80
5	6	644	5721	38.56
6	7	675	6571	37.41
7	8	677	6796	36.14
8	9	727	7594	34.81
9	10	747	7861	33.49
10	12	776	9960	34.31
11	13	793	10157	32.74
12	14	831	10808	31.91
13	15	961	12294	32.05
14	17	1000	12920	30.19
15	18	1035	13364	29.83
16	19	1035	13536	28.97
17	20	1038	13615	28.00
18	21	1103	14268	27.89
19	23	1139	15878	28.28
20	24	1140	16063	27.93
21	25	1172	17071	27.77
22	26	1177	17664	27.60
23	28	1217	19148	27.66
24	29	1287	19598	26.60
25	30	1311	19651	25.89
26	31	1319	19790	25.27
27	32	1328	19952	24.39
28	34	1340	21405	24.31
29	35	1345	21717	23.89
30	36	1378	22291	23.94
31	37	1378	22321	23.66
32	39	1401	23157	23.16
33	40	1411	23304	22.80
34	41	1439	23969	22.87
35	42	1443	24134	22.45
36	43	1477	24593	22.03
37	45	1486	24819	21.51
38	46	1513	25032	21.17
39	47	1527	25347	20.87
40	48	1562	25416	20.32
41	50	1613	25769	20.09
42	51	1619	25978	19.93
43	52	1649	26314	19.68
44	53	1652	26350	19.32
45	54	1674	26502	19.06
46	56	1682	27336	19.01
47	57	1688	27506	18.71
48	58	1690	28012	18.68
49	59	1690	28031	18.47
50	61	1702	28459	18.17
51	62	1713	28714	18.11
52	63	1726	29009	17.89
53	64	1744	29134	17.69
54	65	1762	29396	17.56
55	67	1768	29491	17.24
56	68	1771	29744	17.20
57	69	1771	30032	17.03
58	70	1846	30112	16.66
59	71	1849	30289	16.52
60	73	1867	30594	16.30
61	74	1875	32319	16.79
62	75	1894	32499	16.65
63	76	1898	32626	16.49
64	78	1902	33381	16.31
65	79	1906	33444	16.15
66	80	1907	33462	15.96
67	81	1908	33490	15.77
68	82	1908	33613	15.67
69	84	1910	33701	15.39
70	85	1920	34297	15.46
71	86	1921	34352	15.32
72	87	1921	34375	15.21
73	89	1927	34433	14.90
74	90	1928	34569	14.80
75	91	1928	34575	14.70
76	92	1928	34670	14.53
77	93	1938	34834	14.35
78	95	1964	34878	14.03
79	96	1964	34881	13.89
80	97	1964	35028	13.88
81	98	1964	35116	13.82
82	100	1982	35205	13.59
83	101	1982	35298	13.53
84	102	1998	35419	13.41
85	103	2015	35444	13.25
86	104	2015	35741	13.27
87	106	2062	35835	12.97
88	107	2065	35849	12.87
89	108	2065	35861	12.74
90	109	2074	36005	12.68
91	111	2091	36262	12.59
92	112	2091	36385	12.52
93	113	2097	37727	12.75
94	114	2098	37964	12.75
95	115	2115	38696	12.87
96	117	2166	39180	12.76
97	118	2167	39191	12.69
98	119	2168	39267	12.64
99	120	2171	39286	12.55
100	122	2171	39484	12.45
