Percentage	Tests_Executed	Lines_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	3	7266	3947	56.64
2	7	9946	6725	39.73
3	10	13424	8518	34.90
4	14	14050	9333	28.48
5	17	14788	10195	25.74
6	21	15116	10593	22.41
7	24	15428	11086	20.71
8	28	17296	11783	18.97
9	31	18852	12478	18.01
10	35	19430	12818	16.35
11	39	21262	13019	15.19
12	42	21832	13487	14.62
13	46	22232	14127	14.11
14	49	22844	14290	13.44
15	53	23518	14792	12.92
16	56	24250	15699	12.84
17	60	24874	16052	12.29
18	63	24956	16179	11.86
19	67	25324	16479	11.40
20	71	25530	16711	10.98
21	74	25950	16828	10.59
22	78	26266	16985	10.16
23	81	26712	17538	10.09
24	85	27056	17967	9.89
25	88	27624	18496	9.80
26	92	28142	19038	9.59
27	95	29114	19744	9.55
28	99	29484	20075	9.33
29	102	29822	20115	9.10
30	106	30452	20844	9.03
31	110	30758	21014	8.79
32	113	31196	21168	8.63
33	117	31682	21535	8.44
34	120	32704	21931	8.37
35	124	32984	22072	8.16
36	127	33456	22364	8.06
37	131	33552	22467	7.90
38	134	34406	22684	7.79
39	138	34648	23094	7.71
40	142	35320	23484	7.61
41	145	35882	23582	7.48
42	149	36108	23707	7.35
43	152	36314	23870	7.25
44	156	36786	26310	7.73
45	159	36856	26394	7.62
46	163	37204	26612	7.50
47	166	37332	26837	7.43
48	170	37540	26967	7.32
49	173	38420	27227	7.26
50	177	38708	28644	7.45
51	181	38908	28880	7.35
52	184	40000	29108	7.29
53	188	40938	30213	7.35
54	191	41006	30325	7.27
55	195	41292	30698	7.20
56	198	41936	31206	7.18
57	202	42166	31283	7.08
58	205	42420	31480	7.02
59	209	42628	31959	6.97
60	213	43276	32253	6.90
61	216	43502	32298	6.82
62	220	43836	32489	6.74
63	223	43912	32635	6.68
64	227	44518	33412	6.71
65	230	46104	33951	6.70
66	234	46396	34186	6.63
67	237	46432	34256	6.56
68	241	46724	34875	6.56
69	244	47064	35361	6.55
70	248	48122	36116	6.57
71	252	48208	36195	6.49
72	255	48276	36256	6.43
73	259	48540	36339	6.36
74	262	48946	36525	6.33
75	266	49294	36637	6.25
76	269	49582	36747	6.20
77	273	50196	37789	6.25
78	276	50390	37860	6.20
79	280	51694	38987	6.26
80	284	51964	39206	6.19
81	287	52884	39357	6.14
82	291	53400	39590	6.10
83	294	53484	39689	6.06
84	298	53742	39763	6.00
85	301	54324	40028	5.95
86	305	55134	40469	5.92
87	308	55212	40501	5.87
88	312	55484	40616	5.81
89	315	55942	40828	5.78
90	319	56370	41487	5.78
91	323	56814	41688	5.74
92	326	56842	41722	5.70
93	330	56882	41756	5.65
94	333	57294	42078	5.64
95	337	57672	42333	5.60
96	340	57704	42386	5.57
97	344	58142	42499	5.52
98	347	58306	42646	5.48
99	351	58438	42687	5.43
100	355	58688	42749	5.38
