Percentage	Tests_Executed	Lines_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	2	7260	2695	78.12
2	4	8850	4540	65.46
3	6	9156	6088	57.49
4	8	13758	7413	52.71
5	10	14358	8586	49.90
6	13	18786	12404	48.66
7	15	19354	13459	46.63
8	17	19518	14289	44.64
9	19	19782	15388	43.15
10	21	20826	17631	42.90
11	23	23262	20076	42.66
12	26	27326	22701	41.42
13	28	28148	24015	40.56
14	30	29944	25238	39.59
15	32	34202	28550	39.33
16	34	34324	28974	38.44
17	36	36402	32686	39.56
18	39	37204	34068	38.41
19	41	37308	35202	38.09
20	43	37612	36185	37.39
21	45	39118	38066	36.91
22	47	40214	39258	36.57
23	49	40938	40661	36.27
24	52	41580	42985	35.82
25	54	41876	43574	35.29
26	56	42776	48858	35.91
27	58	43850	51080	35.66
28	60	44500	51749	35.14
29	62	44964	52291	34.68
30	65	45086	52890	34.03
31	67	45718	53101	33.62
32	69	47318	56389	33.69
33	71	47526	58374	33.42
34	73	49054	58848	33.00
35	75	49476	59918	32.53
36	78	51266	62310	32.02
37	80	51462	62769	31.75
38	82	52212	64481	31.74
39	84	52366	65292	31.47
40	86	52532	65559	31.17
41	88	52784	66000	30.86
42	91	52834	67135	30.53
43	93	54134	76588	31.52
44	95	54438	78416	31.26
45	97	54504	78922	30.94
46	99	54524	80015	29.06
47	101	54688	81009	28.87
48	104	55638	82691	28.49
49	106	56868	85321	28.55
50	108	57526	86191	28.40
51	110	57962	87559	28.36
52	112	58176	88924	28.15
53	115	58868	92333	28.04
54	117	59556	92904	27.74
55	119	66762	95789	27.61
56	121	66908	96510	27.42
57	123	66920	97017	27.29
58	125	67446	97767	27.14
59	128	67946	98201	26.91
60	130	67968	98599	26.77
61	132	68196	102146	26.92
62	134	68494	103264	26.82
63	136	68888	104292	26.72
64	138	68972	105136	26.53
65	141	69164	105711	26.26
66	143	69386	106018	26.09
67	145	69422	106310	25.95
68	147	69492	107145	25.78
69	149	69494	107408	25.63
70	151	69538	107998	25.52
71	154	69866	110374	25.35
72	156	70074	112263	25.31
73	158	70128	112665	25.23
74	160	70222	113582	25.09
75	162	70230	114017	24.99
76	164	70518	115011	24.94
77	167	70956	118978	25.04
78	169	72978	121067	24.99
79	171	73036	121364	24.89
80	173	73142	122850	24.86
81	175	73720	123368	24.75
82	177	73866	123755	24.66
83	180	74006	124382	24.57
84	182	74026	124486	24.41
85	184	74050	124572	24.29
86	186	74080	125143	24.26
87	188	74138	125585	24.16
88	190	74276	126085	24.03
89	193	74436	127495	23.84
90	195	74462	128514	23.63
91	197	74568	129262	23.55
92	199	75110	130144	23.50
93	201	75172	130423	23.42
94	203	75268	130846	23.34
95	206	75300	131970	23.21
96	208	75338	132132	23.07
97	210	75450	132688	23.01
98	212	75496	132892	22.95
99	214	75654	134276	22.90
100	217	76174	134732	22.81
