Percentage	Tests_Executed	Lines_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	6	2173	198	39.84
2	13	2386	290	27.00
3	20	2419	365	22.37
4	26	2573	422	20.02
5	33	2632	496	18.41
6	40	2643	554	16.87
7	46	2643	591	15.61
8	53	2643	635	14.55
9	60	2697	683	13.76
10	67	2766	740	13.37
11	73	2771	782	12.99
12	80	2778	830	12.59
13	87	2833	875	12.22
14	93	2833	908	11.87
15	100	2834	944	11.50
16	107	2834	970	11.04
17	113	2834	996	10.73
18	120	2834	1035	10.49
19	127	2889	1078	10.33
20	134	2897	1119	10.15
21	140	2904	1173	10.17
22	147	2904	1201	9.92
23	154	2909	1241	9.80
24	160	2909	1258	9.55
25	167	2909	1285	9.34
26	174	2909	1319	9.19
27	180	2938	1357	9.14
28	187	2956	1389	9.00
29	194	2956	1414	8.83
30	201	2968	1448	8.74
31	207	2968	1471	8.62
32	214	2982	1516	8.60
33	221	3009	1551	8.52
34	227	3009	1579	8.44
35	234	3009	1598	8.28
36	241	3009	1626	8.18
37	247	3010	1653	8.11
38	254	3010	1693	8.07
39	261	3040	1745	8.08
40	268	3046	1781	8.03
41	274	3046	1800	7.95
42	281	3046	1829	7.87
43	288	3046	1853	7.79
44	294	3046	1877	7.73
45	301	3061	1909	7.68
46	308	3065	1945	7.65
47	314	3065	1971	7.60
48	321	3065	1996	7.53
49	328	3065	2025	7.47
50	335	3065	2058	7.43
51	341	3065	2083	7.39
52	348	3065	2110	7.34
53	355	3082	2138	7.28
54	361	3082	2158	7.23
55	368	3088	2182	7.18
56	375	3088	2211	7.14
57	381	3088	2233	7.10
58	388	3088	2256	7.04
59	395	3088	2278	6.98
60	402	3088	2307	6.95
61	408	3090	2329	6.91
62	415	3090	2351	6.86
63	422	3093	2381	6.83
64	428	3096	2403	6.79
65	435	3096	2426	6.74
66	442	3144	2472	6.77
67	448	3144	2498	6.74
68	455	3144	2527	6.72
69	462	3145	2550	6.67
70	469	3154	2584	6.66
71	475	3154	2602	6.62
72	482	3157	2638	6.61
73	489	3157	2662	6.58
74	495	3157	2681	6.55
75	502	3164	2724	6.57
76	509	3164	2761	6.56
77	515	3164	2785	6.54
78	522	3164	2819	6.53
79	529	3183	2856	6.53
80	536	3183	2896	6.53
81	542	3184	2925	6.52
82	549	3186	2954	6.51
83	556	3186	2983	6.48
84	562	3186	3008	6.47
85	569	3192	3033	6.44
86	576	3192	3069	6.44
87	582	3231	3093	6.43
88	589	3237	3119	6.40
89	596	3238	3145	6.38
90	603	3238	3182	6.38
91	609	3240	3201	6.36
92	616	3240	3224	6.33
93	623	3240	3253	6.31
94	629	3256	3281	6.31
95	636	3256	3306	6.29
96	643	3256	3338	6.28
97	649	3256	3358	6.25
98	656	3256	3380	6.23
99	663	3284	3417	6.23
100	670	3284	3450	6.22
