Percentage	Tests_Executed	Lines_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	8	1373	186	52.99
2	16	1506	273	40.21
3	24	1539	350	33.95
4	32	1606	440	31.21
5	40	1641	502	28.28
6	48	1668	548	25.62
7	56	1886	641	26.01
8	64	1905	693	24.57
9	72	1924	764	24.14
10	80	1932	834	23.51
11	88	1979	886	22.76
12	97	1979	930	21.49
13	105	1985	959	20.50
14	113	2001	1005	19.85
15	121	2003	1049	19.24
16	129	2003	1069	18.37
17	137	2012	1116	18.13
18	145	2022	1140	17.62
19	153	2022	1159	16.94
20	161	2022	1189	16.52
21	169	2022	1224	16.15
22	177	2022	1254	15.83
23	186	2054	1297	15.68
24	194	2055	1327	15.38
25	202	2059	1370	15.30
26	210	2065	1398	15.04
27	218	2065	1427	14.83
28	226	2070	1446	14.55
29	234	2071	1468	14.27
30	242	2075	1498	14.08
31	250	2075	1508	13.69
32	258	2080	1544	13.59
33	266	2081	1592	13.60
34	275	2083	1620	13.36
35	283	2092	1643	13.16
36	291	2094	1672	13.00
37	299	2094	1703	12.88
38	307	2095	1730	12.72
39	315	2096	1779	12.77
40	323	2098	1797	12.59
41	331	2098	1834	12.54
42	339	2099	1858	12.43
43	347	2099	1886	12.36
44	355	2101	1909	12.23
45	364	2104	2103	13.00
46	372	2104	2119	12.83
47	380	2104	2137	12.65
48	388	2106	2174	12.62
49	396	2106	2196	12.53
50	404	2106	2212	12.34
51	412	2106	2232	12.22
52	420	2106	2244	12.07
53	428	2123	2272	11.94
54	436	2124	2283	11.78
55	444	2129	2307	11.69
56	453	2142	2337	11.64
57	461	2142	2360	11.58
58	469	2142	2374	11.44
59	477	2142	2390	11.31
60	485	2149	2405	11.20
61	493	2149	2415	11.03
62	501	2149	2441	10.96
63	509	2150	2464	10.90
64	517	2150	2477	10.78
65	525	2150	2487	10.66
66	533	2150	2501	10.55
67	542	2150	2517	10.44
68	550	2151	2536	10.38
69	558	2152	2556	10.32
70	566	2152	2579	10.24
71	574	2152	2584	10.12
72	582	2152	2598	10.02
73	590	2152	2605	9.91
74	598	2152	2623	9.85
75	606	2152	2635	9.77
76	614	2158	2652	9.70
77	622	2158	2670	9.65
78	631	2158	2702	9.62
79	639	2158	2720	9.56
80	647	2158	2733	9.48
81	655	2159	2741	9.38
82	663	2165	2759	9.32
83	671	2165	2792	9.32
84	679	2165	2796	9.23
85	687	2165	2812	9.17
86	695	2165	2816	9.08
87	703	2165	2824	9.00
88	711	2180	2833	8.92
89	720	2182	2848	8.86
90	728	2182	2862	8.82
91	736	2182	2871	8.76
92	744	2182	2875	8.67
93	752	2190	2892	8.63
94	760	2190	2912	8.62
95	768	2191	2929	8.58
96	776	2191	2957	8.58
97	784	2191	2967	8.53
98	792	2191	2970	8.46
99	800	2191	2986	8.42
100	809	2191	2987	8.32
