Percentage	Tests_Executed	Lines_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	2	523	50	76.92
2	4	537	68	48.23
3	6	570	95	45.89
4	8	580	108	41.70
5	10	1006	182	49.73
6	12	1010	199	45.23
7	14	1010	217	41.97
8	17	1021	246	38.92
9	19	1021	259	36.69
10	21	1021	285	36.17
11	23	1038	313	35.41
12	25	1038	329	34.24
13	27	1038	348	33.43
14	29	1038	360	32.23
15	32	1038	373	30.25
16	34	1044	388	29.98
17	36	1044	409	29.38
18	38	1044	440	29.51
19	40	1044	451	28.80
20	42	1044	462	28.15
21	44	1044	476	28.03
22	47	1053	491	27.28
23	49	1065	504	27.00
24	51	1065	515	26.53
25	53	1065	527	26.14
26	55	1072	549	26.18
27	57	1072	560	25.79
28	59	1072	570	25.39
29	62	1085	593	25.21
30	64	1085	602	24.79
31	66	1085	619	24.76
32	68	1085	630	24.48
33	70	1085	640	24.16
34	72	1085	651	23.91
35	74	1085	660	23.58
36	77	1085	676	23.21
37	79	1085	687	23.00
38	81	1085	717	23.28
39	83	1085	741	23.33
40	85	1085	750	23.07
41	87	1085	766	23.01
42	89	1101	787	23.14
43	92	1109	812	23.09
44	94	1109	822	22.88
45	96	1109	828	22.57
46	98	1109	851	22.61
47	100	1109	863	22.49
48	102	1109	870	22.22
49	104	1109	893	22.27
50	107	1134	911	22.07
51	109	1134	918	21.87
52	111	1134	929	21.75
53	113	1134	939	21.62
54	115	1134	948	21.45
55	117	1135	959	21.33
56	119	1135	970	21.22
57	121	1139	1030	21.96
58	124	1139	1044	21.73
59	126	1219	1061	21.72
60	128	1277	1077	21.80
61	130	1277	1099	21.83
62	132	1277	1119	21.79
63	134	1277	1131	21.70
64	136	1277	1138	21.51
65	139	1277	1152	21.31
66	141	1277	1162	21.20
67	143	1277	1173	21.11
68	145	1277	1192	21.09
69	147	1278	1207	21.05
70	149	1278	1218	20.97
71	151	1278	1246	21.08
72	154	1278	1275	21.14
73	156	1278	1283	21.01
74	158	1278	1293	20.92
75	160	1278	1303	20.83
76	162	1278	1311	20.70
77	164	1278	1331	20.71
78	166	1297	1347	20.70
79	169	1297	1362	20.58
80	171	1297	1370	20.47
81	173	1297	1379	20.37
82	175	1297	1388	20.28
83	177	1297	1410	20.32
84	179	1297	1418	20.21
85	181	1297	1433	20.20
86	184	1297	1449	20.10
87	186	1297	1458	20.02
88	188	1297	1463	19.91
89	190	1302	1483	19.92
90	192	1302	1493	19.85
91	194	1302	1501	19.76
92	196	1302	1510	19.68
93	199	1302	1538	19.71
94	201	1302	1549	19.70
95	203	1302	1556	19.60
96	205	1302	1564	19.52
97	207	1302	1574	19.46
98	209	1302	1586	19.43
99	211	1302	1595	19.37
100	214	1302	1631	19.47
