Percentage	Tests_Executed	Lines_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	1	124	1439	100.00
2	2	160	1873	69.32
3	3	270	2835	62.04
4	4	516	4024	59.80
5	5	552	4368	54.82
6	6	760	5918	55.58
7	7	1152	6624	52.63
8	8	1264	8306	52.76
9	9	1382	8788	51.01
10	11	2774	11454	49.97
11	12	3058	12010	48.71
12	13	3140	12233	46.81
13	14	3532	13185	46.22
14	15	3626	13342	45.09
15	16	3708	13423	43.17
16	17	4018	14314	42.45
17	18	4090	15095	41.87
18	19	4986	16482	42.49
19	20	5034	16598	41.43
20	22	5614	18287	40.81
21	23	6012	20040	40.57
22	24	6990	22284	41.77
23	25	7004	22316	41.13
24	26	7010	22393	40.33
25	27	7050	22495	39.68
26	28	7076	22617	39.15
27	29	7386	24322	39.50
28	30	7404	24351	38.86
29	31	7584	25098	38.74
30	33	7916	26385	37.99
31	34	8030	26626	37.55
32	35	8206	27206	36.94
33	36	8572	29528	37.35
34	37	8640	29899	37.06
35	38	8644	30016	36.57
36	39	8644	30096	35.91
37	40	8758	30250	35.57
38	41	8786	30442	35.12
39	42	8958	31099	34.83
40	44	9138	31721	34.13
41	45	9638	32697	34.01
42	46	11578	36900	35.17
43	47	11660	37079	34.80
44	48	11894	37411	34.50
45	49	12334	38888	34.67
46	50	12346	39094	34.42
47	51	12486	39367	33.95
48	52	12674	39981	33.74
49	53	12702	40158	33.55
50	55	13454	42019	33.38
51	56	13556	42871	33.25
52	57	14184	43639	33.09
53	58	14380	44674	32.98
54	59	14496	45119	32.78
55	60	14496	45215	32.47
56	61	14510	45462	32.09
57	62	14600	45775	31.93
58	63	14686	46184	31.82
59	64	14750	46294	31.57
60	66	14868	46484	31.11
61	67	14870	46541	30.79
62	68	15162	47092	30.66
63	69	15274	47295	30.49
64	70	15796	48481	30.56
65	71	15908	48820	30.51
66	72	15912	48908	30.23
67	73	17222	50399	30.19
68	74	17418	50562	30.04
69	75	17446	50657	29.89
70	77	17556	52934	30.09
71	78	17806	53475	29.93
72	79	17864	53495	29.70
73	80	17920	53846	29.49
74	81	18370	55169	29.41
75	82	18386	55193	29.19
76	83	18464	55459	29.03
77	84	18602	55463	28.89
78	85	18624	55658	28.80
79	86	18706	55853	28.63
80	88	19308	57487	28.46
81	89	20264	59167	28.59
82	90	20510	60047	28.57
83	91	20530	60510	28.52
84	92	20530	60715	28.38
85	93	20540	60815	28.21
86	94	20592	60847	28.08
87	95	20632	61504	28.00
88	96	21066	61928	27.81
89	97	21080	61952	27.67
90	99	21110	63272	27.58
91	100	21164	63557	27.52
92	101	21164	63570	27.42
93	102	21226	64021	27.34
94	103	21608	64132	27.16
95	104	21688	64196	27.01
96	105	21696	64200	26.85
97	106	21698	64200	26.75
98	107	22408	65857	26.88
99	108	22476	65942	26.74
100	110	22650	66460	26.54
