Percentage	Tests_Executed	Lines_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	8	1714	448	31.50
2	17	2568	625	21.43
3	26	2571	782	17.72
4	35	2636	989	16.82
5	43	2636	1112	15.06
6	52	2636	1240	13.78
7	61	2636	1378	12.93
8	70	2636	1492	12.23
9	78	2655	1588	11.74
10	87	2655	1726	11.44
11	96	2656	1851	11.13
12	105	2657	1997	10.97
13	113	2666	2096	10.68
14	122	2666	2207	10.40
15	131	2675	2337	10.25
16	140	2675	2446	10.04
17	148	2675	2563	9.94
18	157	2675	2672	9.73
19	166	2675	2764	9.47
20	175	2675	2866	9.35
21	183	2675	2963	9.24
22	192	2679	3064	9.14
23	201	2680	3189	9.10
24	210	2680	3276	8.94
25	218	2713	3361	8.83
26	227	2713	3448	8.73
27	236	2713	3541	8.65
28	245	2713	3629	8.52
29	253	2713	3706	8.44
30	262	2713	3800	8.32
31	271	2713	3883	8.22
32	280	2715	3988	8.17
33	288	2715	4067	8.08
34	297	2715	4164	8.01
35	306	2715	4251	7.96
36	315	2715	4333	7.87
37	323	2715	4425	7.84
38	332	2715	4511	7.77
39	341	2733	4603	7.72
40	350	2742	4826	7.87
41	358	2742	4900	7.83
42	367	2742	4983	7.77
43	376	2742	5076	7.73
44	385	2742	5165	7.67
45	393	2742	5240	7.63
46	402	2742	5331	7.59
47	411	2744	5419	7.56
48	420	2744	5500	7.51
49	428	2744	5575	7.46
50	437	2744	5665	7.42
51	446	2744	5747	7.37
52	455	2744	5836	7.33
53	463	2913	5917	7.31
54	472	2913	6000	7.28
55	481	2913	6085	7.23
56	490	2913	6167	7.19
57	498	2913	6239	7.16
58	507	2913	6328	7.12
59	516	2913	6417	7.09
60	525	2913	6504	7.06
61	533	2913	6580	7.03
62	542	2913	6668	7.00
63	551	2913	6747	6.97
64	560	2913	6832	6.94
65	568	2968	6915	6.94
66	577	2968	7001	6.91
67	586	2968	7085	6.89
68	595	2968	7166	6.86
69	603	2969	7260	6.86
70	612	2988	7360	6.86
71	621	2988	7458	6.85
72	630	2988	7536	6.83
73	638	2988	7611	6.81
74	647	2988	7699	6.79
75	656	2989	7785	6.77
76	665	2989	7860	6.74
77	673	2989	7950	6.74
78	682	2989	8032	6.72
79	691	2989	8117	6.70
80	700	2989	8229	6.70
81	708	2989	8307	6.69
82	717	2989	8394	6.67
83	726	2989	8475	6.65
84	735	3030	8568	6.65
85	743	3030	8647	6.64
86	752	3067	8743	6.64
87	761	3067	8829	6.62
88	770	3067	8926	6.61
89	778	3067	9007	6.60
90	787	3067	9097	6.60
91	796	3067	9183	6.58
92	805	3068	9296	6.58
93	813	3068	9370	6.57
94	822	3068	9460	6.56
95	831	3068	9551	6.54
96	840	3068	9639	6.53
97	848	3068	9710	6.52
98	857	3068	9793	6.51
99	866	3069	9876	6.49
100	875	3069	9962	6.48
