Percentage	Tests_Executed	Lines_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	3	5126	4032	67.41
2	7	6966	18024	75.03
3	11	7606	21806	67.11
4	15	9602	22904	60.43
5	19	12766	26949	57.71
6	23	13488	29010	53.24
7	26	13988	30179	50.70
8	30	17656	33173	47.84
9	34	19972	35572	45.38
10	38	20334	37089	43.13
11	42	21226	38021	41.29
12	46	22030	42627	41.03
13	49	22382	43487	39.82
14	53	22746	43772	38.68
15	57	23506	44218	37.19
16	61	24184	46037	36.13
17	65	25558	47852	35.18
18	69	26080	48470	34.14
19	72	26834	50813	33.69
20	76	27534	52404	32.89
21	80	30226	55555	32.76
22	84	31482	57022	31.71
23	88	32548	58312	31.19
24	92	32976	58918	30.39
25	96	33168	65173	31.36
26	99	33306	65668	29.64
27	103	35574	71008	30.18
28	107	37334	73126	29.92
29	111	38146	73630	29.09
30	115	40126	75818	28.54
31	119	40424	76478	27.84
32	122	40496	76736	26.61
33	126	41634	78198	26.09
34	130	42674	81149	26.14
35	134	42766	81557	25.48
36	138	43014	81977	25.11
37	142	43788	82699	24.77
38	145	44900	83741	24.41
39	149	45298	85684	24.29
40	153	45746	85884	23.87
41	157	46138	87146	23.57
42	161	46444	87891	23.32
43	165	46860	89059	23.10
44	168	47626	94285	23.52
45	172	49156	96083	23.52
46	176	49328	96280	23.26
47	180	49436	96869	22.99
48	184	49994	97792	22.69
49	188	50094	99076	22.51
50	192	51300	104080	22.91
51	195	51896	104196	22.65
52	199	52430	104431	22.45
53	203	53218	105020	22.11
54	207	53554	106241	21.97
55	211	54392	107899	21.87
56	215	55194	108493	21.51
57	218	55542	110110	21.41
58	222	56022	110769	21.26
59	226	57416	111423	21.13
60	230	57512	111556	20.94
61	234	57924	114310	21.04
62	238	59042	115987	20.96
63	241	59182	116581	20.78
64	245	59610	117214	20.46
65	249	60246	120777	20.66
66	253	60456	121700	20.56
67	257	60762	124318	20.54
68	261	61084	127877	20.66
69	264	61158	128159	20.54
70	268	61274	128778	20.44
71	272	61384	129168	20.32
72	276	63048	131619	20.16
73	280	63130	131776	20.00
74	284	63600	133464	19.93
75	288	64236	133724	19.70
76	291	64660	134418	19.60
77	295	65044	134875	19.48
78	299	65262	135353	19.35
79	303	65580	136223	19.24
80	307	65770	136584	19.02
81	311	65864	137507	18.93
82	314	65910	137901	18.83
83	318	66188	138290	18.63
84	322	66190	138408	18.54
85	326	66344	138449	18.43
86	330	70700	139401	18.31
87	334	70972	139669	18.18
88	337	72056	141321	18.15
89	341	72216	141415	17.99
90	345	72360	141654	17.87
91	349	72442	142276	17.74
92	353	72622	142676	17.63
93	357	72764	143049	17.53
94	360	72990	143102	17.45
95	364	73002	143481	17.26
96	368	73418	143636	17.16
97	372	73768	144117	17.07
98	376	73838	144346	16.96
99	380	73842	144372	16.83
100	384	73870	144550	16.73
