Percentage	Tests_Executed	Lines_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	3	1574	122	50.00
2	7	1661	178	30.43
3	11	1711	267	28.16
4	14	1740	354	28.99
5	18	1814	416	25.81
6	22	1834	501	25.48
7	25	1843	548	24.26
8	29	1845	593	22.80
9	33	1845	629	21.74
10	37	1850	675	20.87
11	40	1850	699	20.25
12	44	1853	742	19.57
13	48	1857	811	19.33
14	51	1857	845	18.94
15	55	1865	920	19.14
16	59	1865	961	18.66
17	62	1865	1002	18.50
18	66	1865	1037	18.09
19	70	1865	1085	17.94
20	74	1867	1134	17.68
21	77	1867	1173	17.49
22	81	1900	1233	17.58
23	85	1900	1270	17.32
24	88	1900	1311	17.29
25	92	2195	1366	17.21
26	96	2195	1394	16.94
27	99	2195	1425	16.82
28	103	2195	1492	16.85
29	107	2195	1535	16.64
30	111	2195	1581	16.49
31	114	2195	1615	16.34
32	118	2195	1655	16.20
33	122	2204	1702	16.04
34	125	2204	1742	15.98
35	129	2204	1780	15.83
36	133	2204	1832	15.77
37	136	2204	1853	15.63
38	140	2206	1894	15.46
39	144	2277	1919	15.31
40	148	2277	1996	15.40
41	151	2277	2022	15.29
42	155	2277	2060	15.19
43	159	2286	2096	15.07
44	162	2286	2123	14.98
45	166	2286	2159	14.88
46	170	2286	2196	14.79
47	173	2286	2225	14.72
48	177	2286	2265	14.63
49	181	2287	2308	14.56
50	185	2289	2346	14.48
51	188	2289	2376	14.43
52	192	2289	2409	14.33
53	196	2289	2447	14.25
54	199	2289	2478	14.21
55	203	2292	2528	14.21
56	207	2328	2597	14.31
57	210	2332	2628	14.24
58	214	2332	2657	14.16
59	218	2332	2693	14.07
60	222	2332	2724	14.00
61	225	2332	2754	13.95
62	229	2382	2814	13.98
63	233	2382	2864	13.96
64	236	2382	2899	13.94
65	240	2382	2964	14.02
66	244	2382	3012	13.98
67	247	2382	3044	13.96
68	251	2383	3106	13.98
69	255	2383	3133	13.89
70	259	2383	3175	13.85
71	262	2383	3191	13.77
72	266	2383	3219	13.71
73	270	2383	3250	13.66
74	273	2383	3282	13.64
75	277	2383	3311	13.58
76	281	2383	3360	13.59
77	284	2383	3386	13.55
78	288	2383	3421	13.51
79	292	2383	3449	13.45
80	296	2383	3473	13.39
81	299	2396	3503	13.35
82	303	2417	3542	13.35
83	307	2419	3588	13.33
84	310	2423	3626	13.34
85	314	2423	3658	13.29
86	318	2423	3723	13.33
87	321	2423	3746	13.30
88	325	2423	3790	13.29
89	329	2423	3835	13.29
90	333	2423	3868	13.24
91	336	2423	3902	13.24
92	340	2423	3934	13.19
93	344	2423	3969	13.16
94	347	2423	3989	13.11
95	351	2423	4023	13.08
96	355	2423	4083	13.09
97	358	2423	4105	13.06
98	362	2423	4142	13.04
99	366	2423	4179	13.01
100	370	2423	4216	12.97
