Percentage	Tests_Executed	Lines_Covered	Raw_Shingles_Coverage	Unique_Shingles_Ratio
1	1	3094	2415	100.00
2	2	3978	3578	71.57
3	3	4110	4155	55.93
4	4	5064	5532	51.96
5	6	5610	6138	41.63
6	7	6356	7317	39.97
7	8	6484	7770	38.39
8	9	6526	8158	36.84
9	10	6624	8530	34.35
10	12	6836	8846	31.02
11	13	6970	9163	29.81
12	14	6974	9228	28.86
13	15	7002	9519	28.64
14	17	8068	9936	26.45
15	18	8216	11795	28.42
16	19	8216	11823	27.39
17	20	8272	12156	26.75
18	21	8360	12251	25.56
19	23	8596	13085	24.57
20	24	8830	13656	24.11
21	25	8892	14266	24.13
22	26	9046	14547	23.55
23	28	9440	15298	23.03
24	29	9576	16136	23.37
25	30	10084	17436	23.94
26	31	10186	18215	24.08
27	32	10270	18938	23.92
28	34	10846	19628	22.84
29	35	10864	19696	22.22
30	36	10968	19786	21.58
31	37	11006	19840	21.13
32	39	11056	20376	20.59
33	40	11064	20543	20.48
34	41	11146	20775	20.16
35	42	11336	21018	19.81
36	43	11422	21111	19.48
37	45	11564	21458	18.88
38	46	11564	21590	18.70
39	47	11622	22034	18.63
40	48	11676	22109	18.38
41	50	11754	22215	17.91
42	51	11840	22501	17.82
43	52	11894	22840	17.83
44	53	12198	23182	17.61
45	54	12198	23193	17.40
46	56	12520	24178	17.35
47	57	12614	24791	17.27
48	58	12788	25008	16.92
49	59	12870	25124	16.71
50	61	13026	25391	16.38
51	62	13242	26459	16.77
52	63	13326	26794	16.69
53	64	13398	26994	16.61
54	65	13402	27093	16.49
55	67	13534	27223	16.09
56	68	13536	27251	15.87
57	69	13558	27251	15.68
58	70	13562	27267	15.41
59	71	13598	27723	15.41
60	73	13746	28652	15.29
61	74	13818	28754	15.11
62	75	13856	28787	14.96
63	76	13864	28850	14.90
64	78	13888	28885	14.59
65	79	14182	29017	14.34
66	80	14288	29231	14.26
67	81	14480	29461	14.17
68	82	14494	29876	14.22
69	84	14678	30186	14.10
70	85	14822	31723	14.47
71	86	15000	31766	14.25
72	87	15040	31946	14.15
73	89	15152	33537	14.45
74	90	15250	33638	14.33
75	91	15370	33971	14.35
76	92	15384	34025	14.23
77	93	15598	34231	14.16
78	95	15598	34568	14.08
79	96	15604	34592	13.93
80	97	15604	34648	13.83
81	98	15610	34740	13.77
82	100	16190	36121	13.86
83	101	16288	36214	13.76
84	102	16384	36335	13.66
85	103	16434	36489	13.60
86	104	16530	36565	13.50
87	106	16532	37317	13.55
88	107	16730	37321	13.34
89	108	16748	37344	13.23
90	109	16760	37384	13.11
91	111	16802	37537	12.97
92	112	17204	38269	13.09
93	113	17224	38277	13.01
94	114	17264	38295	12.91
95	115	17390	38661	12.95
96	117	17404	38804	12.84
97	118	17408	38898	12.72
98	119	17408	38903	12.63
99	120	17434	38947	12.51
100	122	17590	39484	12.45
