Percentage	Tests_Executed	Branchs_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	3	108	21	3	100.00
2	7	1174	41	7	100.00
3	10	1376	53	10	100.00
4	14	2406	69	14	100.00
5	17	3530	80	17	100.00
6	21	4208	89	21	100.00
7	24	4528	96	24	100.00
8	28	4728	102	28	100.00
9	31	5066	103	30	96.77
10	35	5220	110	33	94.29
11	39	5400	124	37	94.87
12	42	5540	131	40	95.24
13	46	5910	138	44	95.65
14	49	5988	143	47	95.92
15	53	6140	147	51	96.23
16	56	6182	148	54	96.43
17	60	6242	153	58	96.67
18	63	6302	155	61	96.83
19	67	6470	158	64	95.52
20	71	7094	165	68	95.77
21	74	7324	169	71	95.95
22	78	7386	171	75	96.15
23	81	7468	172	78	96.30
24	85	7634	179	81	95.29
25	88	7682	180	83	94.32
26	92	7828	187	87	94.57
27	95	7922	189	89	93.68
28	99	8110	192	92	92.93
29	102	8148	195	95	93.14
30	106	8418	197	99	93.40
31	110	8464	199	100	90.91
32	113	8504	200	102	90.27
33	117	8568	206	106	90.60
34	120	8634	206	108	90.00
35	124	8814	208	111	89.52
36	127	8834	211	114	89.76
37	131	8888	212	117	89.31
38	134	8928	214	120	89.55
39	138	8982	214	123	89.13
40	142	9224	218	127	89.44
41	145	9298	221	130	89.66
42	149	9356	221	133	89.26
43	152	9418	226	135	88.82
44	156	9502	226	138	88.46
45	159	9524	229	141	88.68
46	163	9652	229	144	88.34
47	166	9780	229	147	88.55
48	170	9826	231	150	88.24
49	173	9888	232	152	87.86
50	177	9958	235	155	87.57
51	181	9980	237	157	86.74
52	184	10122	237	158	85.87
53	188	10190	240	162	86.17
54	191	10264	243	164	85.86
55	195	10296	244	168	86.15
56	198	10332	244	171	86.36
57	202	10484	246	175	86.63
58	205	10498	246	177	86.34
59	209	10548	247	181	86.60
60	213	10786	250	184	86.38
61	216	10796	253	187	86.57
62	220	10930	258	190	86.36
63	223	11000	260	193	86.55
64	227	11138	260	196	86.34
65	230	11198	261	199	86.52
66	234	11474	263	202	86.32
67	237	11534	266	205	86.50
68	241	11622	270	207	85.89
69	244	11636	271	209	85.66
70	248	11678	274	213	85.89
71	252	11720	275	216	85.71
72	255	11790	276	219	85.88
73	259	11902	276	223	86.10
74	262	11930	278	225	85.88
75	266	11974	279	229	86.09
76	269	12110	281	231	85.87
77	273	12238	285	234	85.71
78	276	12446	286	237	85.87
79	280	12474	288	240	85.71
80	284	12604	289	244	85.92
81	287	12604	289	247	86.06
82	291	12670	291	250	85.91
83	294	12700	293	253	86.05
84	298	12828	295	256	85.91
85	301	12890	300	259	86.05
86	305	13064	308	263	86.23
87	308	13100	310	265	86.04
88	312	13170	314	269	86.22
89	315	13328	314	272	86.35
90	319	13414	315	276	86.52
91	323	13492	316	279	86.38
92	326	13580	317	282	86.50
93	330	13656	318	286	86.67
94	333	13686	318	288	86.49
95	337	13714	318	291	86.35
96	340	13720	318	294	86.47
97	344	13782	318	297	86.34
98	347	13784	320	300	86.46
99	351	13788	320	302	86.04
100	355	13912	324	305	85.92
