Percentage	Tests_Executed	Branchs_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	2	1490	17	2	100.00
2	4	1842	29	4	100.00
3	6	2278	43	6	100.00
4	8	2290	47	8	100.00
5	10	3676	56	10	100.00
6	13	5476	76	13	100.00
7	15	5562	85	15	100.00
8	17	5634	92	17	100.00
9	19	5926	94	19	100.00
10	21	6064	102	21	100.00
11	23	6074	109	23	100.00
12	26	6438	126	26	100.00
13	28	7108	135	28	100.00
14	30	7236	142	30	100.00
15	32	7276	151	32	100.00
16	34	7486	161	34	100.00
17	36	7872	170	36	100.00
18	39	8000	182	39	100.00
19	41	8090	191	41	100.00
20	43	8334	199	43	100.00
21	45	8382	204	45	100.00
22	47	8406	211	47	100.00
23	49	8672	217	49	100.00
24	52	12548	225	52	100.00
25	54	14058	230	54	100.00
26	56	14128	237	56	100.00
27	58	14228	245	58	100.00
28	60	14244	252	60	100.00
29	62	14250	257	62	100.00
30	65	14366	266	65	100.00
31	67	14420	276	67	100.00
32	69	14424	282	69	100.00
33	71	14522	287	71	100.00
34	73	14764	294	73	100.00
35	75	14768	302	75	100.00
36	78	14852	319	78	100.00
37	80	15008	329	80	100.00
38	82	15014	332	82	100.00
39	84	15314	337	84	100.00
40	86	15316	341	86	100.00
41	88	15470	347	88	100.00
42	91	15498	361	91	100.00
43	93	15506	366	93	100.00
44	95	15506	371	95	100.00
45	97	15530	373	97	100.00
46	99	15638	377	99	100.00
47	101	15722	382	101	100.00
48	104	15742	389	104	100.00
49	106	15778	395	106	100.00
50	108	15802	399	108	100.00
51	110	15814	402	110	100.00
52	112	15832	408	112	100.00
53	115	15968	413	115	100.00
54	117	16030	423	117	100.00
55	119	16058	425	119	100.00
56	121	16074	430	121	100.00
57	123	16082	434	123	100.00
58	125	16162	439	125	100.00
59	128	16196	445	128	100.00
60	130	16216	455	130	100.00
61	132	16268	461	132	100.00
62	134	16270	466	134	100.00
63	136	16272	472	136	100.00
64	138	16402	477	138	100.00
65	141	16514	482	141	100.00
66	143	16676	484	143	100.00
67	145	16716	491	145	100.00
68	147	16784	494	147	100.00
69	149	16786	499	149	100.00
70	151	16812	506	151	100.00
71	154	16816	514	154	100.00
72	156	16822	517	156	100.00
73	158	16848	522	158	100.00
74	160	16852	527	160	100.00
75	162	16862	531	162	100.00
76	164	16916	539	164	100.00
77	167	17402	548	167	100.00
78	169	17454	553	169	100.00
79	171	17796	561	171	100.00
80	173	17818	567	173	100.00
81	175	17838	571	175	100.00
82	177	17870	574	177	100.00
83	180	17896	582	180	100.00
84	182	17912	588	182	100.00
85	184	17912	591	184	100.00
86	186	17920	594	186	100.00
87	188	17924	599	188	100.00
88	190	17940	603	190	100.00
89	193	18094	609	193	100.00
90	195	18094	611	195	100.00
91	197	18120	615	197	100.00
92	199	18152	621	199	100.00
93	201	18152	623	201	100.00
94	203	18154	626	203	100.00
95	206	18260	635	206	100.00
96	208	18260	636	208	100.00
97	210	18294	642	210	100.00
98	212	18302	646	212	100.00
99	214	18316	649	214	100.00
100	217	18400	660	217	100.00
