Percentage	Tests_Executed	Branchs_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	6	1206	32	6	100.00
2	13	1394	36	11	84.62
3	20	1399	37	15	75.00
4	26	1442	40	20	76.92
5	33	1484	42	24	72.73
6	40	1484	42	29	72.50
7	46	1484	42	32	69.57
8	53	1486	43	34	64.15
9	60	1486	44	38	63.33
10	67	1521	47	41	61.19
11	73	1523	49	43	58.90
12	80	1539	51	48	60.00
13	87	1539	52	51	58.62
14	93	1554	53	54	58.06
15	100	1575	53	57	57.00
16	107	1575	53	60	56.07
17	113	1575	53	63	55.75
18	120	1575	53	64	53.33
19	127	1576	55	66	51.97
20	134	1623	59	68	50.75
21	140	1625	59	70	50.00
22	147	1644	61	72	48.98
23	154	1647	61	75	48.70
24	160	1649	61	76	47.50
25	167	1649	61	76	45.51
26	174	1652	61	78	44.83
27	180	1652	61	80	44.44
28	187	1660	61	84	44.92
29	194	1660	61	85	43.81
30	201	1661	61	88	43.78
31	207	1661	61	89	43.00
32	214	1661	61	89	41.59
33	221	1678	63	92	41.63
34	227	1698	65	94	41.41
35	234	1698	65	96	41.03
36	241	1698	65	98	40.66
37	247	1698	65	99	40.08
38	254	1698	65	100	39.37
39	261	1698	65	101	38.70
40	268	1698	65	102	38.06
41	274	1706	65	104	37.96
42	281	1710	66	106	37.72
43	288	1710	66	106	36.81
44	294	1710	66	106	36.05
45	301	1710	66	106	35.22
46	308	1710	66	106	34.42
47	314	1714	66	106	33.76
48	321	1724	69	108	33.64
49	328	1727	69	110	33.54
50	335	1727	69	111	33.13
51	341	1727	69	111	32.55
52	348	1728	69	112	32.18
53	355	1728	69	112	31.55
54	361	1728	69	112	31.02
55	368	1729	69	113	30.71
56	375	1731	69	114	30.40
57	381	1733	69	115	30.18
58	388	1733	69	116	29.90
59	395	1736	69	117	29.62
60	402	1737	70	118	29.35
61	408	1759	71	119	29.17
62	415	1759	71	119	28.67
63	422	1759	71	120	28.44
64	428	1759	71	120	28.04
65	435	1760	71	120	27.59
66	442	1761	71	122	27.60
67	448	1761	71	122	27.23
68	455	1802	71	123	27.03
69	462	1803	72	124	26.84
70	469	1803	72	124	26.44
71	475	1803	72	125	26.32
72	482	1803	72	126	26.14
73	489	1816	72	126	25.77
74	495	1822	73	128	25.86
75	502	1822	73	129	25.70
76	509	1824	76	133	26.13
77	515	1825	81	135	26.21
78	522	1825	81	136	26.05
79	529	1825	81	137	25.90
80	536	1835	83	139	25.93
81	542	1838	83	140	25.83
82	549	1838	83	140	25.50
83	556	1838	83	141	25.36
84	562	1838	83	141	25.09
85	569	1841	88	142	24.96
86	576	1841	88	142	24.65
87	582	1841	88	142	24.40
88	589	1842	88	142	24.11
89	596	1843	88	143	23.99
90	603	1844	92	144	23.88
91	609	1844	92	145	23.81
92	616	1844	92	145	23.54
93	623	1844	92	146	23.43
94	629	1846	93	148	23.53
95	636	1846	93	148	23.27
96	643	1846	93	150	23.33
97	649	1850	93	150	23.11
98	656	1850	93	150	22.87
99	663	1851	93	151	22.78
100	670	1851	93	151	22.54
