Percentage	Tests_Executed	Branchs_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	8	1021	59	8	100.00
2	16	1257	106	16	100.00
3	24	1303	139	24	100.00
4	32	1321	166	32	100.00
5	40	1379	207	40	100.00
6	48	1396	239	48	100.00
7	56	1419	267	56	100.00
8	64	1421	296	64	100.00
9	72	1457	320	72	100.00
10	80	1476	344	80	100.00
11	88	1481	360	88	100.00
12	97	1496	383	96	98.97
13	105	1497	404	104	99.05
14	113	1510	430	111	98.23
15	121	1519	448	119	98.35
16	129	1521	467	127	98.45
17	137	1522	480	135	98.54
18	145	1553	514	143	98.62
19	153	1553	520	150	98.04
20	161	1562	536	158	98.14
21	169	1563	552	166	98.22
22	177	1565	576	174	98.31
23	186	1568	594	183	98.39
24	194	1579	606	191	98.45
25	202	1592	622	199	98.51
26	210	1638	636	207	98.57
27	218	1643	657	215	98.62
28	226	1647	667	223	98.67
29	234	1658	690	231	98.72
30	242	1668	715	239	98.76
31	250	1687	735	247	98.80
32	258	1694	754	254	98.45
33	266	1707	766	262	98.50
34	275	1707	780	270	98.18
35	283	1710	797	278	98.23
36	291	1716	818	286	98.28
37	299	1719	837	294	98.33
38	307	1719	843	302	98.37
39	315	1724	862	310	98.41
40	323	1724	880	317	98.14
41	331	1724	892	325	98.19
42	339	1724	902	333	98.23
43	347	1724	919	341	98.27
44	355	1725	935	348	98.03
45	364	1731	947	357	98.08
46	372	1731	952	365	98.12
47	380	1735	975	373	98.16
48	388	1737	990	381	98.20
49	396	1737	1004	389	98.23
50	404	1743	1013	396	98.02
51	412	1743	1019	404	98.06
52	420	1748	1027	410	97.62
53	428	1763	1041	418	97.66
54	436	1765	1055	426	97.71
55	444	1767	1067	434	97.75
56	453	1768	1085	443	97.79
57	461	1769	1104	451	97.83
58	469	1769	1105	459	97.87
59	477	1769	1107	467	97.90
60	485	1770	1112	475	97.94
61	493	1770	1124	482	97.77
62	501	1771	1140	490	97.80
63	509	1772	1152	497	97.64
64	517	1775	1164	505	97.68
65	525	1777	1173	513	97.71
66	533	1779	1185	521	97.75
67	542	1782	1194	530	97.79
68	550	1783	1202	538	97.82
69	558	1783	1209	546	97.85
70	566	1784	1220	554	97.88
71	574	1785	1223	562	97.91
72	582	1785	1232	569	97.77
73	590	1786	1248	577	97.80
74	598	1786	1252	584	97.66
75	606	1790	1262	590	97.36
76	614	1790	1272	596	97.07
77	622	1790	1278	604	97.11
78	631	1790	1286	612	96.99
79	639	1791	1288	620	97.03
80	647	1791	1296	627	96.91
81	655	1791	1299	634	96.79
82	663	1791	1304	642	96.83
83	671	1793	1320	650	96.87
84	679	1793	1327	658	96.91
85	687	1794	1336	666	96.94
86	695	1794	1342	672	96.69
87	703	1794	1345	678	96.44
88	711	1794	1356	686	96.48
89	720	1794	1369	694	96.39
90	728	1794	1375	702	96.43
91	736	1794	1379	709	96.33
92	744	1794	1384	716	96.24
93	752	1794	1389	724	96.28
94	760	1794	1393	730	96.05
95	768	1795	1409	737	95.96
96	776	1802	1425	745	96.01
97	784	1802	1434	752	95.92
98	792	1802	1439	759	95.83
99	800	1802	1441	767	95.88
100	809	1802	1449	776	95.92
