Percentage	Tests_Executed	Branchs_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	2	340	16	2	100.00
2	4	341	22	4	100.00
3	6	347	25	6	100.00
4	8	443	36	8	100.00
5	10	443	41	10	100.00
6	12	443	43	12	100.00
7	14	446	54	14	100.00
8	17	461	62	17	100.00
9	19	463	65	19	100.00
10	21	664	75	21	100.00
11	23	664	78	23	100.00
12	25	666	89	25	100.00
13	27	666	93	27	100.00
14	29	666	94	29	100.00
15	32	670	111	32	100.00
16	34	671	123	34	100.00
17	36	671	126	36	100.00
18	38	671	129	38	100.00
19	40	671	134	40	100.00
20	42	671	136	42	100.00
21	44	671	138	44	100.00
22	47	685	147	47	100.00
23	49	692	154	49	100.00
24	51	692	156	51	100.00
25	53	704	166	53	100.00
26	55	704	170	55	100.00
27	57	704	173	56	98.25
28	59	705	178	57	96.61
29	62	748	196	60	96.77
30	64	765	204	61	95.31
31	66	765	207	63	95.45
32	68	765	212	65	95.59
33	70	765	216	67	95.71
34	72	765	218	69	95.83
35	74	765	218	71	95.95
36	77	773	225	74	96.10
37	79	773	230	76	96.20
38	81	773	235	78	96.30
39	83	774	238	80	96.39
40	85	774	242	82	96.47
41	87	774	247	84	96.55
42	89	774	250	86	96.63
43	92	774	253	89	96.74
44	94	774	255	90	95.74
45	96	774	258	92	95.83
46	98	774	266	94	95.92
47	100	774	270	96	96.00
48	102	774	274	98	96.08
49	104	774	279	100	96.15
50	107	783	294	103	96.26
51	109	783	301	105	96.33
52	111	786	310	107	96.40
53	113	786	317	109	96.46
54	115	786	322	111	96.52
55	117	786	327	113	96.58
56	119	786	329	115	96.64
57	121	796	340	117	96.69
58	124	796	351	120	96.77
59	126	796	352	122	96.83
60	128	796	354	124	96.88
61	130	838	358	126	96.92
62	132	838	358	127	96.21
63	134	838	362	129	96.27
64	136	838	365	131	96.32
65	139	838	367	133	95.68
66	141	838	369	135	95.74
67	143	838	378	137	95.80
68	145	838	381	139	95.86
69	147	838	383	141	95.92
70	149	838	387	143	95.97
71	151	838	392	145	96.03
72	154	838	397	148	96.10
73	156	838	400	150	96.15
74	158	845	402	152	96.20
75	160	845	406	154	96.25
76	162	849	417	156	96.30
77	164	849	419	158	96.34
78	166	849	423	160	96.39
79	169	867	428	163	96.45
80	171	867	435	165	96.49
81	173	867	441	167	96.53
82	175	867	444	169	96.57
83	177	867	445	170	96.05
84	179	867	448	172	96.09
85	181	867	451	174	96.13
86	184	869	464	177	96.20
87	186	869	469	179	96.24
88	188	869	470	181	96.28
89	190	869	472	182	95.79
90	192	869	475	184	95.83
91	194	869	477	186	95.88
92	196	869	478	187	95.41
93	199	869	481	189	94.97
94	201	869	484	191	95.02
95	203	869	487	193	95.07
96	205	869	494	195	95.12
97	207	878	501	197	95.17
98	209	878	507	199	95.22
99	211	878	511	201	95.26
100	214	880	518	204	95.33
