Percentage	Tests_Executed	Branchs_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	1	24	10	1	100.00
2	2	346	20	2	100.00
3	3	502	30	3	100.00
4	4	548	40	4	100.00
5	5	766	50	5	100.00
6	6	808	60	6	100.00
7	7	822	70	7	100.00
8	8	992	80	8	100.00
9	9	1170	88	9	100.00
10	11	1172	107	11	100.00
11	12	1184	115	12	100.00
12	13	1190	125	13	100.00
13	14	1278	135	14	100.00
14	15	1952	145	15	100.00
15	16	2034	154	16	100.00
16	17	2040	161	17	100.00
17	18	2190	171	18	100.00
18	19	2224	180	19	100.00
19	20	2266	187	20	100.00
20	22	2282	207	22	100.00
21	23	2332	209	23	100.00
22	24	2332	218	24	100.00
23	25	2372	228	25	100.00
24	26	2480	238	26	100.00
25	27	2530	248	27	100.00
26	28	2532	258	28	100.00
27	29	2672	265	29	100.00
28	30	2674	267	30	100.00
29	31	3194	272	31	100.00
30	33	3566	284	33	100.00
31	34	3576	294	34	100.00
32	35	3580	304	35	100.00
33	36	3580	305	36	100.00
34	37	3642	315	37	100.00
35	38	3674	324	38	100.00
36	39	3674	324	38	97.44
37	40	3726	334	39	97.50
38	41	3786	342	40	97.56
39	42	3854	352	41	97.62
40	44	3956	366	43	97.73
41	45	3976	376	44	97.78
42	46	3978	377	45	97.83
43	47	3978	377	45	95.74
44	48	3982	387	46	95.83
45	49	4038	393	47	95.92
46	50	4040	400	48	96.00
47	51	4046	410	49	96.08
48	52	4058	414	50	96.15
49	53	4140	417	51	96.23
50	55	4226	428	53	96.36
51	56	4242	435	54	96.43
52	57	4408	444	55	96.49
53	58	4440	452	56	96.55
54	59	4446	462	57	96.61
55	60	4446	463	58	96.67
56	61	4446	465	59	96.72
57	62	4460	468	60	96.77
58	63	4460	468	60	95.24
59	64	4460	476	61	95.31
60	66	4490	490	63	95.45
61	67	4490	493	64	95.52
62	68	4556	500	65	95.59
63	69	4576	502	66	95.65
64	70	4902	511	67	95.71
65	71	4902	511	67	94.37
66	72	5094	521	68	94.44
67	73	5128	526	69	94.52
68	74	5218	532	70	94.59
69	75	5226	542	71	94.67
70	77	5270	556	73	94.81
71	78	5316	566	74	94.87
72	79	5316	566	75	94.94
73	80	5490	576	76	95.00
74	81	5698	584	77	95.06
75	82	5706	591	78	95.12
76	83	5712	597	79	95.18
77	84	5720	607	80	95.24
78	85	5740	615	81	95.29
79	86	5744	625	82	95.35
80	88	5784	645	84	95.45
81	89	5796	655	85	95.51
82	90	5802	665	86	95.56
83	91	5806	675	87	95.60
84	92	5806	681	88	95.65
85	93	5808	690	89	95.70
86	94	5812	694	90	95.74
87	95	5870	699	91	95.79
88	96	5884	709	92	95.83
89	97	5886	718	93	95.88
90	99	5894	723	94	94.95
91	100	5898	731	95	95.00
92	101	5900	736	96	95.05
93	102	5978	739	97	95.10
94	103	6076	744	98	95.15
95	104	6082	750	99	95.19
96	105	6084	752	100	95.24
97	106	6156	761	101	95.28
98	107	6404	771	102	95.33
99	108	6404	772	103	95.37
100	110	6490	777	104	94.55
