Percentage	Tests_Executed	Branchs_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	8	906	26	8	100.00
2	17	928	51	17	100.00
3	26	928	64	26	100.00
4	35	928	74	34	97.14
5	43	1052	84	41	95.35
6	52	1262	96	49	94.23
7	61	1299	105	58	95.08
8	70	1299	111	67	95.71
9	78	1329	121	74	94.87
10	87	1330	127	82	94.25
11	96	1330	133	87	90.62
12	105	1330	139	95	90.48
13	113	1330	140	102	90.27
14	122	1354	146	109	89.34
15	131	1358	155	117	89.31
16	140	1358	163	125	89.29
17	148	1358	170	132	89.19
18	157	1358	175	140	89.17
19	166	1362	181	148	89.16
20	175	1364	189	154	88.00
21	183	1364	193	160	87.43
22	192	1364	197	166	86.46
23	201	1364	201	173	86.07
24	210	1364	209	181	86.19
25	218	1364	214	188	86.24
26	227	1364	219	196	86.34
27	236	1416	224	205	86.86
28	245	1416	231	211	86.12
29	253	1416	240	218	86.17
30	262	1419	250	225	85.88
31	271	1419	259	233	85.98
32	280	1419	264	241	86.07
33	288	1419	269	249	86.46
34	297	1421	275	256	86.20
35	306	1421	286	263	85.95
36	315	1436	290	270	85.71
37	323	1438	298	277	85.76
38	332	1439	309	285	85.84
39	341	1439	316	291	85.34
40	350	1439	319	296	84.57
41	358	1439	322	302	84.36
42	367	1439	325	308	83.92
43	376	1907	330	314	83.51
44	385	1907	337	321	83.38
45	393	1907	343	328	83.46
46	402	1907	345	334	83.08
47	411	1907	350	343	83.45
48	420	1907	355	350	83.33
49	428	1921	359	354	82.71
50	437	1921	361	358	81.92
51	446	1921	366	366	82.06
52	455	1922	376	374	82.20
53	463	1924	385	381	82.29
54	472	1924	394	389	82.42
55	481	1924	401	396	82.33
56	490	1924	408	401	81.84
57	498	1924	410	407	81.73
58	507	1955	414	412	81.26
59	516	1955	420	419	81.20
60	525	1955	425	425	80.95
61	533	1977	431	431	80.86
62	542	1977	433	435	80.26
63	551	1977	437	442	80.22
64	560	1977	444	449	80.18
65	568	1977	452	456	80.28
66	577	1977	454	462	80.07
67	586	1977	457	467	79.69
68	595	1977	464	473	79.50
69	603	1977	469	480	79.60
70	612	1977	470	486	79.41
71	621	1977	475	493	79.39
72	630	1977	482	501	79.52
73	638	1977	484	506	79.31
74	647	1977	492	513	79.29
75	656	1977	495	518	78.96
76	665	1977	499	522	78.50
77	673	1977	504	530	78.75
78	682	1981	509	535	78.45
79	691	1982	519	543	78.58
80	700	1982	524	550	78.57
81	708	1982	529	557	78.67
82	717	1997	534	564	78.66
83	726	1998	539	570	78.51
84	735	1998	543	576	78.37
85	743	1998	551	582	78.33
86	752	1998	559	590	78.46
87	761	1998	566	598	78.58
88	770	1998	567	603	78.31
89	778	1998	569	608	78.15
90	787	1998	574	614	78.02
91	796	1998	575	617	77.51
92	805	1998	579	621	77.14
93	813	1998	585	628	77.24
94	822	1998	590	633	77.01
95	831	2023	598	641	77.14
96	840	2023	603	647	77.02
97	848	2023	608	651	76.77
98	857	2024	615	659	76.90
99	866	2024	622	666	76.91
100	875	2024	629	674	77.03
