Percentage	Tests_Executed	Branchs_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	3	642	28	3	100.00
2	7	1290	63	7	100.00
3	11	1428	91	11	100.00
4	15	1988	124	15	100.00
5	19	2416	138	18	94.74
6	23	2566	149	22	95.65
7	26	3396	164	25	96.15
8	30	3562	178	29	96.67
9	34	3596	189	32	94.12
10	38	4176	215	36	94.74
11	42	4514	237	40	95.24
12	46	5182	263	44	95.65
13	49	5250	270	46	93.88
14	53	5464	294	50	94.34
15	57	5750	307	54	94.74
16	61	6208	326	58	95.08
17	65	6306	347	62	95.38
18	69	6462	356	65	94.20
19	72	6522	380	68	94.44
20	76	6878	400	72	94.74
21	80	8020	410	75	93.75
22	84	8124	423	78	92.86
23	88	8358	429	81	92.05
24	92	8564	446	85	92.39
25	96	8712	467	88	91.67
26	99	8732	477	90	90.91
27	103	8756	493	94	91.26
28	107	8958	507	98	91.59
29	111	9112	529	102	91.89
30	115	9144	546	105	91.30
31	119	9390	557	109	91.60
32	122	9504	565	112	91.80
33	126	9642	573	116	92.06
34	130	9696	588	120	92.31
35	134	9746	601	124	92.54
36	138	9844	614	127	92.03
37	142	10430	628	130	91.55
38	145	10502	640	133	91.72
39	149	10844	663	137	91.95
40	153	10896	683	141	92.16
41	157	10976	695	144	91.72
42	161	11070	711	148	91.93
43	165	11120	729	152	92.12
44	168	11174	743	155	92.26
45	172	11600	755	159	92.44
46	176	11798	761	163	92.61
47	180	11798	770	165	91.67
48	184	11820	777	167	90.76
49	188	11990	791	171	90.96
50	192	12166	803	175	91.15
51	195	12210	810	178	91.28
52	199	12266	824	181	90.95
53	203	12394	833	184	90.64
54	207	12416	841	187	90.34
55	211	12488	848	190	90.05
56	215	12576	860	194	90.23
57	218	12660	868	196	89.91
58	222	12728	878	200	90.09
59	226	12762	880	202	89.38
60	230	12872	893	206	89.57
61	234	12924	901	209	89.32
62	238	12932	904	210	88.24
63	241	13012	904	211	87.55
64	245	13094	918	213	86.94
65	249	13152	936	217	87.15
66	253	13298	946	221	87.35
67	257	13310	952	223	86.77
68	261	13444	967	227	86.97
69	264	13468	977	230	87.12
70	268	13560	979	233	86.94
71	272	13600	991	235	86.40
72	276	13662	1006	239	86.59
73	280	13796	1010	243	86.79
74	284	14004	1020	247	86.97
75	288	14062	1027	251	87.15
76	291	14096	1027	253	86.94
77	295	14130	1032	255	86.44
78	299	14204	1041	259	86.62
79	303	14394	1056	263	86.80
80	307	14436	1060	265	86.32
81	311	14454	1064	267	85.85
82	314	14522	1075	270	85.99
83	318	14600	1075	272	85.53
84	322	14640	1083	275	85.40
85	326	14716	1093	277	84.97
86	330	14728	1096	279	84.55
87	334	14812	1104	282	84.43
88	337	14832	1108	285	84.57
89	341	14890	1119	288	84.46
90	345	14922	1123	291	84.35
91	349	14928	1133	293	83.95
92	353	14966	1139	295	83.57
93	357	14974	1141	298	83.47
94	360	14984	1150	301	83.61
95	364	14996	1155	304	83.52
96	368	15064	1159	306	83.15
97	372	15088	1162	309	83.06
98	376	15120	1176	312	82.98
99	380	15214	1184	315	82.89
100	384	15294	1189	318	82.81
