Percentage	Tests_Executed	Branchs_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	3	892	19	3	100.00
2	7	955	29	7	100.00
3	11	970	34	10	90.91
4	14	1184	43	13	92.86
5	18	1197	50	17	94.44
6	22	1208	57	21	95.45
7	25	1216	67	24	96.00
8	29	1220	77	28	96.55
9	33	1221	87	32	96.97
10	37	1223	95	36	97.30
11	40	1304	106	38	95.00
12	44	1314	114	42	95.45
13	48	1328	121	46	95.83
14	51	1328	124	49	96.08
15	55	1328	127	53	96.36
16	59	1330	132	57	96.61
17	62	1330	137	59	95.16
18	66	1330	141	62	93.94
19	70	1330	151	66	94.29
20	74	1330	160	70	94.59
21	77	1331	170	73	94.81
22	81	1335	179	77	95.06
23	85	1338	188	81	95.29
24	88	1339	197	84	95.45
25	92	1343	202	88	95.65
26	96	1343	210	92	95.83
27	99	1343	214	95	95.96
28	103	1343	221	99	96.12
29	107	1343	226	103	96.26
30	111	1343	237	107	96.40
31	114	1343	237	110	96.49
32	118	1346	241	114	96.61
33	122	1346	246	118	96.72
34	125	1346	248	121	96.80
35	129	1346	253	124	96.12
36	133	1356	265	128	96.24
37	136	1356	267	129	94.85
38	140	1357	273	133	95.00
39	144	1357	278	136	94.44
40	148	1365	283	140	94.59
41	151	1365	286	143	94.70
42	155	1365	291	146	94.19
43	159	1365	295	149	93.71
44	162	1365	295	151	93.21
45	166	1367	301	155	93.37
46	170	1367	304	158	92.94
47	173	1367	309	161	93.06
48	177	1367	317	164	92.66
49	181	1367	321	168	92.82
50	185	1368	335	171	92.43
51	188	1368	340	174	92.55
52	192	1368	345	177	92.19
53	196	1368	352	181	92.35
54	199	1368	354	183	91.96
55	203	1368	360	185	91.13
56	207	1368	366	188	90.82
57	210	1368	371	191	90.95
58	214	1370	378	195	91.12
59	218	1370	381	199	91.28
60	222	1370	388	203	91.44
61	225	1370	390	206	91.56
62	229	1371	396	210	91.70
63	233	1371	400	214	91.85
64	236	1371	411	217	91.95
65	240	1371	415	220	91.67
66	244	1416	422	224	91.80
67	247	1425	430	226	91.50
68	251	1428	437	230	91.63
69	255	1428	441	234	91.76
70	259	1428	443	236	91.12
71	262	1428	445	239	91.22
72	266	1428	450	243	91.35
73	270	1428	454	247	91.48
74	273	1428	459	250	91.58
75	277	1428	466	254	91.70
76	281	1428	471	258	91.81
77	284	1428	477	261	91.90
78	288	1430	485	265	92.01
79	292	1430	489	269	92.12
80	296	1430	497	273	92.23
81	299	1430	502	276	92.31
82	303	1430	508	280	92.41
83	307	1432	513	284	92.51
84	310	1432	522	287	92.58
85	314	1439	531	291	92.68
86	318	1441	537	295	92.77
87	321	1441	541	298	92.83
88	325	1441	554	302	92.92
89	329	1441	560	305	92.71
90	333	1441	565	307	92.19
91	336	1441	567	309	91.96
92	340	1441	574	313	92.06
93	344	1441	581	317	92.15
94	347	1441	589	320	92.22
95	351	1445	593	323	92.02
96	355	1445	599	327	92.11
97	358	1445	603	330	92.18
98	362	1445	608	333	91.99
99	366	1445	614	337	92.08
100	370	1445	626	341	92.16
