Percentage	Tests_Executed	Branches_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	1	482	10	1	100.00
2	2	652	14	2	100.00
3	3	704	15	3	100.00
4	4	798	19	4	100.00
5	6	950	23	6	100.00
6	7	964	24	7	100.00
7	8	1092	26	8	100.00
8	9	1140	27	9	100.00
9	10	1308	29	10	100.00
10	12	1522	39	12	100.00
11	13	1578	40	13	100.00
12	14	1612	41	14	100.00
13	15	1706	44	15	100.00
14	17	1790	46	17	100.00
15	18	1828	47	18	100.00
16	19	1868	48	19	100.00
17	20	1874	48	20	100.00
18	21	1874	48	20	95.24
19	23	1904	48	20	86.96
20	24	1904	48	21	87.50
21	25	1940	50	22	88.00
22	26	1980	51	23	88.46
23	28	2126	53	25	89.29
24	29	2126	53	26	89.66
25	30	2126	54	27	90.00
26	31	2168	57	28	90.32
27	32	2330	59	29	90.62
28	34	2378	61	31	91.18
29	35	2396	62	32	91.43
30	36	2398	62	33	91.67
31	37	2422	63	34	91.89
32	39	2422	63	34	87.18
33	40	2424	65	35	87.50
34	41	2450	67	36	87.80
35	42	2490	68	37	88.10
36	43	2524	70	38	88.37
37	45	2680	72	40	88.89
38	46	2680	72	40	86.96
39	47	2680	72	40	85.11
40	48	2684	72	41	85.42
41	50	2846	73	43	86.00
42	51	2850	74	44	86.27
43	52	2850	74	45	86.54
44	53	2856	74	46	86.79
45	54	2872	75	47	87.04
46	56	2922	77	49	87.50
47	57	2938	77	50	87.72
48	58	2972	78	51	87.93
49	59	2988	78	52	88.14
50	61	2988	78	54	88.52
51	62	2998	78	55	88.71
52	63	3002	79	56	88.89
53	64	3010	81	57	89.06
54	65	3010	81	58	89.23
55	67	3036	82	60	89.55
56	68	3040	82	60	88.24
57	69	3044	82	61	88.41
58	70	3104	83	62	88.57
59	71	3104	83	62	87.32
60	73	3118	83	64	87.67
61	74	3124	83	65	87.84
62	75	3154	83	66	88.00
63	76	3154	83	67	88.16
64	78	3176	83	69	88.46
65	79	3180	83	69	87.34
66	80	3188	83	70	87.50
67	81	3188	83	71	87.65
68	82	3206	84	72	87.80
69	84	3230	86	74	88.10
70	85	3234	86	75	88.24
71	86	3242	94	76	88.37
72	87	3248	95	77	88.51
73	89	3248	95	78	87.64
74	90	3266	95	79	87.78
75	91	3268	95	80	87.91
76	92	3268	95	81	88.04
77	93	3294	95	82	88.17
78	95	3302	96	84	88.42
79	96	3328	96	84	87.50
80	97	3328	97	85	87.63
81	98	3328	97	85	86.73
82	100	3330	105	86	86.00
83	101	3330	105	86	85.15
84	102	3358	105	87	85.29
85	103	3358	105	88	85.44
86	104	3400	105	89	85.58
87	106	3426	105	89	83.96
88	107	3426	105	90	84.11
89	108	3428	105	91	84.26
90	109	3442	105	92	84.40
91	111	3452	106	94	84.68
92	112	3452	106	95	84.82
93	113	3458	106	96	84.96
94	114	3470	106	97	85.09
95	115	3478	106	97	84.35
96	117	3478	107	99	84.62
97	118	3488	107	100	84.75
98	119	3496	107	101	84.87
99	120	3496	107	102	85.00
100	122	3520	110	104	85.25
