Percentage	Tests_Executed	Functions_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	3	93	22	3	100.00
2	7	304	38	7	100.00
3	10	923	46	10	100.00
4	14	972	51	14	100.00
5	17	1031	58	17	100.00
6	21	1070	64	21	100.00
7	24	1222	71	24	100.00
8	28	1257	75	27	96.43
9	31	1321	79	30	96.77
10	35	1418	88	34	97.14
11	39	1508	101	38	97.44
12	42	1554	107	41	97.62
13	46	1756	112	44	95.65
14	49	1781	114	47	95.92
15	53	1954	118	49	92.45
16	56	1989	123	52	92.86
17	60	2056	132	56	93.33
18	63	2069	132	57	90.48
19	67	2081	135	60	89.55
20	71	2125	136	64	90.14
21	74	2190	140	67	90.54
22	78	2207	143	71	91.03
23	81	2237	145	74	91.36
24	85	2378	151	78	91.76
25	88	2398	153	81	92.05
26	92	2477	161	84	91.30
27	95	2487	163	87	91.58
28	99	2543	173	91	91.92
29	102	2573	175	93	91.18
30	106	2596	179	96	90.57
31	110	2615	181	99	90.00
32	113	2630	181	101	89.38
33	117	2648	185	105	89.74
34	120	2662	185	107	89.17
35	124	2722	185	108	87.10
36	127	2794	188	111	87.40
37	131	2840	193	114	87.02
38	134	2926	199	116	86.57
39	138	2961	201	120	86.96
40	142	2984	205	124	87.32
41	145	3005	206	127	87.59
42	149	3020	207	131	87.92
43	152	3032	212	134	88.16
44	156	3066	214	138	88.46
45	159	3081	216	140	88.05
46	163	3148	216	142	87.12
47	166	3214	223	145	87.35
48	170	3230	225	149	87.65
49	173	3254	228	151	87.28
50	177	3276	230	155	87.57
51	181	3298	235	158	87.29
52	184	3328	237	161	87.50
53	188	3353	239	165	87.77
54	191	3367	240	168	87.96
55	195	3381	242	172	88.21
56	198	3412	244	175	88.38
57	202	3436	247	178	88.12
58	205	3475	250	181	88.29
59	209	3504	251	185	88.52
60	213	3541	254	188	88.26
61	216	3551	255	190	87.96
62	220	3596	256	193	87.73
63	223	3644	256	196	87.89
64	227	3683	258	200	88.11
65	230	3699	259	203	88.26
66	234	3718	265	207	88.46
67	237	3748	265	210	88.61
68	241	3757	268	214	88.80
69	244	3859	270	217	88.93
70	248	3900	272	221	89.11
71	252	3913	273	224	88.89
72	255	3932	278	226	88.63
73	259	3947	279	229	88.42
74	262	3965	280	231	88.17
75	266	3991	280	234	87.97
76	269	4015	281	236	87.73
77	273	4019	282	239	87.55
78	276	4035	282	242	87.68
79	280	4066	286	246	87.86
80	284	4119	288	249	87.68
81	287	4123	288	249	86.76
82	291	4152	289	253	86.94
83	294	4160	289	255	86.73
84	298	4217	289	259	86.91
85	301	4224	289	259	86.05
86	305	4250	291	262	85.90
87	308	4255	294	265	86.04
88	312	4281	299	269	86.22
89	315	4289	301	271	86.03
90	319	4300	302	274	85.89
91	323	4360	306	278	86.07
92	326	4368	307	281	86.20
93	330	4395	308	284	86.06
94	333	4403	309	287	86.19
95	337	4460	310	289	85.76
96	340	4482	310	292	85.88
97	344	4507	312	295	85.76
98	347	4511	316	298	85.88
99	351	4539	320	301	85.75
100	355	4563	324	305	85.92
