Percentage	Tests_Executed	Functions_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	2	1251	17	2	100.00
2	4	1370	19	4	100.00
3	6	1541	29	6	100.00
4	8	1651	31	8	100.00
5	10	2177	34	10	100.00
6	13	2289	35	12	92.31
7	15	2365	35	14	93.33
8	17	4738	44	16	94.12
9	19	4754	44	17	89.47
10	21	4775	46	19	90.48
11	23	4786	46	21	91.30
12	26	5148	63	24	92.31
13	28	5161	83	26	92.86
14	30	5377	87	28	93.33
15	32	5462	88	29	90.62
16	34	5521	89	30	88.24
17	36	6094	93	32	88.89
18	39	6099	95	34	87.18
19	41	6118	98	36	87.80
20	43	6119	98	36	83.72
21	45	6125	98	36	80.00
22	47	6134	98	37	78.72
23	49	6146	100	38	77.55
24	52	6182	112	41	78.85
25	54	6191	113	42	77.78
26	56	6200	120	44	78.57
27	58	6206	121	46	79.31
28	60	6225	121	47	78.33
29	62	6230	121	48	77.42
30	65	6295	124	51	78.46
31	67	6324	125	53	79.10
32	69	6324	125	53	76.81
33	71	6331	126	55	77.46
34	73	6356	135	57	78.08
35	75	6365	145	59	78.67
36	78	6416	150	62	79.49
37	80	6490	152	64	80.00
38	82	6493	156	66	80.49
39	84	6501	156	66	78.57
40	86	6505	156	67	77.91
41	88	6623	158	68	77.27
42	91	6633	174	71	78.02
43	93	6633	174	72	77.42
44	95	6646	174	74	77.89
45	97	6649	180	76	78.35
46	99	6649	181	77	77.78
47	101	6686	188	79	78.22
48	104	6688	190	81	77.88
49	106	6700	191	83	78.30
50	108	6712	192	84	77.78
51	110	6719	193	85	77.27
52	112	6814	195	87	77.68
53	115	6818	215	90	78.26
54	117	6876	215	91	77.78
55	119	6887	215	93	78.15
56	121	6890	226	95	78.51
57	123	6904	233	96	78.05
58	125	6964	234	98	78.40
59	128	7019	241	100	78.12
60	130	7023	241	101	77.69
61	132	7025	248	102	77.27
62	134	7039	249	103	76.87
63	136	7098	260	105	77.21
64	138	7103	260	106	76.81
65	141	7105	260	107	75.89
66	143	7107	260	107	74.83
67	145	7121	261	108	74.48
68	147	7125	261	109	74.15
69	149	7127	261	111	74.50
70	151	7129	261	112	74.17
71	154	7135	263	114	74.03
72	156	7137	263	114	73.08
73	158	7146	272	116	73.42
74	160	7151	272	117	73.12
75	162	7153	272	118	72.84
76	164	7161	273	119	72.56
77	167	7172	281	121	72.46
78	169	7175	282	123	72.78
79	171	7175	283	124	72.51
80	173	7184	283	125	72.25
81	175	7200	283	126	72.00
82	177	7202	283	128	72.32
83	180	7331	285	129	71.67
84	182	7351	285	129	70.88
85	184	7354	296	131	71.20
86	186	7355	296	132	70.97
87	188	7380	296	134	71.28
88	190	7390	298	136	71.58
89	193	7401	306	137	70.98
90	195	7406	306	137	70.26
91	197	7454	309	138	70.05
92	199	7475	309	139	69.85
93	201	7482	309	140	69.65
94	203	7542	309	141	69.46
95	206	7543	317	142	68.93
96	208	7546	324	143	68.75
97	210	7547	332	145	69.05
98	212	7551	332	146	68.87
99	214	7555	346	148	69.16
100	217	7573	347	149	68.66
