Percentage	Tests_Executed	Functions_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	6	111	38	6	100.00
2	13	115	59	13	100.00
3	20	123	81	20	100.00
4	26	123	87	26	100.00
5	33	130	103	33	100.00
6	40	130	111	40	100.00
7	46	130	119	46	100.00
8	53	130	138	53	100.00
9	60	130	152	60	100.00
10	67	134	163	67	100.00
11	73	136	171	73	100.00
12	80	136	183	80	100.00
13	87	137	193	87	100.00
14	93	137	199	93	100.00
15	100	137	204	100	100.00
16	107	137	210	106	99.07
17	113	137	214	112	99.12
18	120	137	223	119	99.17
19	127	138	234	126	99.21
20	134	138	240	133	99.25
21	140	142	247	139	99.29
22	147	142	253	146	99.32
23	154	142	259	153	99.35
24	160	142	268	159	99.38
25	167	143	277	166	99.40
26	174	143	285	173	99.43
27	180	143	292	179	99.44
28	187	143	301	186	99.47
29	194	143	305	193	99.48
30	201	143	308	200	99.50
31	207	143	315	206	99.52
32	214	143	321	213	99.53
33	221	143	323	220	99.55
34	227	143	326	226	99.56
35	234	143	329	233	99.57
36	241	143	339	240	99.59
37	247	143	343	246	99.60
38	254	143	348	253	99.61
39	261	143	351	260	99.62
40	268	143	358	267	99.63
41	274	143	362	273	99.64
42	281	143	371	280	99.64
43	288	143	376	287	99.65
44	294	143	386	293	99.66
45	301	143	396	300	99.67
46	308	143	405	307	99.68
47	314	143	410	312	99.36
48	321	143	414	319	99.38
49	328	143	424	326	99.39
50	335	143	432	333	99.40
51	341	143	441	339	99.41
52	348	143	447	345	99.14
53	355	143	449	351	98.87
54	361	143	454	356	98.61
55	368	143	462	363	98.64
56	375	143	466	370	98.67
57	381	143	471	376	98.69
58	388	143	476	383	98.71
59	395	146	484	390	98.73
60	402	146	486	396	98.51
61	408	146	491	402	98.53
62	415	147	499	409	98.55
63	422	147	503	416	98.58
64	428	147	508	422	98.60
65	435	147	512	428	98.39
66	442	147	521	435	98.42
67	448	147	526	439	97.99
68	455	147	533	446	98.02
69	462	147	536	453	98.05
70	469	147	538	460	98.08
71	475	147	542	466	98.11
72	482	147	545	473	98.13
73	489	147	552	479	97.96
74	495	147	555	485	97.98
75	502	147	559	491	97.81
76	509	147	565	498	97.84
77	515	147	570	504	97.86
78	522	147	573	510	97.70
79	529	147	575	517	97.73
80	536	147	577	524	97.76
81	542	148	580	530	97.79
82	549	148	585	537	97.81
83	556	148	588	543	97.66
84	562	148	594	549	97.69
85	569	148	601	556	97.72
86	576	148	602	563	97.74
87	582	148	603	569	97.77
88	589	148	607	576	97.79
89	596	148	612	582	97.65
90	603	148	614	589	97.68
91	609	148	616	594	97.54
92	616	148	621	601	97.56
93	623	148	627	608	97.59
94	629	148	630	614	97.62
95	636	148	632	620	97.48
96	643	148	634	627	97.51
97	649	148	638	633	97.53
98	656	148	641	639	97.41
99	663	148	642	646	97.44
100	670	148	648	653	97.46
