Percentage	Tests_Executed	Functions_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	8	130	41	8	100.00
2	16	130	50	16	100.00
3	24	130	59	24	100.00
4	32	130	66	32	100.00
5	40	130	69	40	100.00
6	48	130	71	48	100.00
7	56	130	74	56	100.00
8	64	130	75	64	100.00
9	72	130	87	72	100.00
10	80	130	96	80	100.00
11	88	130	106	88	100.00
12	97	130	107	97	100.00
13	105	130	107	105	100.00
14	113	130	116	113	100.00
15	121	130	118	121	100.00
16	129	130	118	129	100.00
17	137	130	126	137	100.00
18	145	130	127	145	100.00
19	153	130	127	153	100.00
20	161	130	129	161	100.00
21	169	130	129	169	100.00
22	177	130	145	177	100.00
23	186	130	161	186	100.00
24	194	130	161	194	100.00
25	202	130	167	202	100.00
26	210	130	180	210	100.00
27	218	130	182	218	100.00
28	226	130	188	226	100.00
29	234	130	197	234	100.00
30	242	130	197	242	100.00
31	250	130	205	250	100.00
32	258	130	210	258	100.00
33	266	130	210	266	100.00
34	275	130	211	275	100.00
35	283	130	216	283	100.00
36	291	130	216	291	100.00
37	299	130	219	299	100.00
38	307	130	220	307	100.00
39	315	130	226	315	100.00
40	323	130	228	323	100.00
41	331	130	228	331	100.00
42	339	130	236	339	100.00
43	347	130	242	347	100.00
44	355	130	243	355	100.00
45	364	130	245	364	100.00
46	372	130	249	372	100.00
47	380	130	249	380	100.00
48	388	130	249	388	100.00
49	396	130	255	396	100.00
50	404	130	257	404	100.00
51	412	130	257	412	100.00
52	420	130	257	420	100.00
53	428	130	260	428	100.00
54	436	130	261	436	100.00
55	444	130	263	444	100.00
56	453	130	263	453	100.00
57	461	130	263	461	100.00
58	469	130	263	469	100.00
59	477	130	264	477	100.00
60	485	130	264	485	100.00
61	493	130	264	493	100.00
62	501	130	265	501	100.00
63	509	130	265	509	100.00
64	517	130	269	517	100.00
65	525	130	269	525	100.00
66	533	130	269	533	100.00
67	542	130	271	542	100.00
68	550	130	272	548	99.64
69	558	130	276	555	99.46
70	566	130	276	563	99.47
71	574	130	278	571	99.48
72	582	130	285	579	99.48
73	590	130	285	587	99.49
74	598	130	290	595	99.50
75	606	130	290	602	99.34
76	614	130	290	610	99.35
77	622	130	290	618	99.36
78	631	130	293	627	99.37
79	639	130	295	635	99.37
80	647	130	306	643	99.38
81	655	130	308	651	99.39
82	663	130	310	659	99.40
83	671	130	310	667	99.40
84	679	130	311	674	99.26
85	687	130	311	682	99.27
86	695	130	317	690	99.28
87	703	130	318	698	99.29
88	711	130	323	706	99.30
89	720	130	324	715	99.31
90	728	130	324	723	99.31
91	736	130	324	731	99.32
92	744	130	324	739	99.33
93	752	130	324	747	99.34
94	760	130	325	755	99.34
95	768	130	325	763	99.35
96	776	130	327	771	99.36
97	784	130	327	779	99.36
98	792	130	334	787	99.37
99	800	130	335	795	99.38
100	809	130	335	804	99.38
