Percentage	Tests_Executed	Functions_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	2	35	12	2	100.00
2	4	35	17	4	100.00
3	6	47	29	6	100.00
4	8	47	37	8	100.00
5	10	47	41	10	100.00
6	12	47	43	12	100.00
7	14	47	46	14	100.00
8	17	47	53	17	100.00
9	19	47	59	19	100.00
10	21	47	62	21	100.00
11	23	47	67	23	100.00
12	25	48	73	25	100.00
13	27	48	76	27	100.00
14	29	48	78	29	100.00
15	32	48	88	32	100.00
16	34	48	92	34	100.00
17	36	48	93	36	100.00
18	38	48	98	38	100.00
19	40	48	99	40	100.00
20	42	48	100	41	97.62
21	44	58	111	43	97.73
22	47	58	120	46	97.87
23	49	58	122	48	97.96
24	51	58	129	50	98.04
25	53	58	132	52	98.11
26	55	58	135	54	98.18
27	57	58	143	56	98.25
28	59	58	146	58	98.31
29	62	59	156	61	98.39
30	64	59	158	63	98.44
31	66	61	168	65	98.48
32	68	61	173	67	98.53
33	70	61	175	69	98.57
34	72	61	177	71	98.61
35	74	61	179	73	98.65
36	77	61	186	76	98.70
37	79	62	196	78	98.73
38	81	62	196	80	98.77
39	83	62	199	82	98.80
40	85	62	202	84	98.82
41	87	63	214	86	98.85
42	89	63	216	88	98.88
43	92	63	222	91	98.91
44	94	63	223	93	98.94
45	96	63	228	95	98.96
46	98	63	233	97	98.98
47	100	63	240	99	99.00
48	102	63	243	101	99.02
49	104	63	253	103	99.04
50	107	63	263	106	99.07
51	109	63	266	108	99.08
52	111	63	267	110	99.10
53	113	63	267	111	98.23
54	115	63	275	113	98.26
55	117	63	278	115	98.29
56	119	63	281	117	98.32
57	121	63	283	119	98.35
58	124	63	296	122	98.39
59	126	63	297	124	98.41
60	128	66	303	126	98.44
61	130	67	311	128	98.46
62	132	68	320	130	98.48
63	134	68	331	132	98.51
64	136	68	334	134	98.53
65	139	69	340	137	98.56
66	141	69	343	139	98.58
67	143	69	355	141	98.60
68	145	69	358	143	98.62
69	147	69	366	145	98.64
70	149	69	379	147	98.66
71	151	69	390	149	98.68
72	154	69	400	152	98.70
73	156	69	403	154	98.72
74	158	69	405	155	98.10
75	160	69	408	157	98.12
76	162	69	415	159	98.15
77	164	71	427	161	98.17
78	166	71	432	163	98.19
79	169	71	438	166	98.22
80	171	71	442	168	98.25
81	173	71	448	170	98.27
82	175	71	449	172	98.29
83	177	71	454	173	97.74
84	179	71	459	175	97.77
85	181	71	468	177	97.79
86	184	71	472	180	97.83
87	186	71	476	181	97.31
88	188	71	477	182	96.81
89	190	71	483	184	96.84
90	192	71	485	186	96.88
91	194	71	488	188	96.91
92	196	71	498	190	96.94
93	199	71	504	193	96.98
94	201	71	510	195	97.01
95	203	71	510	195	96.06
96	205	71	510	196	95.61
97	207	71	512	198	95.65
98	209	71	512	200	95.69
99	211	71	514	202	95.73
100	214	71	518	204	95.33
