Percentage	Tests_Executed	Functions_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	1	4	10	1	100.00
2	2	12	20	2	100.00
3	3	42	30	3	100.00
4	4	64	40	4	100.00
5	5	112	50	5	100.00
6	6	135	60	6	100.00
7	7	150	69	7	100.00
8	8	222	78	8	100.00
9	9	222	78	8	88.89
10	11	267	98	10	90.91
11	12	270	105	11	91.67
12	13	290	106	12	92.31
13	14	405	116	13	92.86
14	15	408	122	14	93.33
15	16	408	122	14	87.50
16	17	408	122	14	82.35
17	18	417	128	15	83.33
18	19	449	138	16	84.21
19	20	458	145	17	85.00
20	22	493	158	19	86.36
21	23	510	167	20	86.96
22	24	527	177	21	87.50
23	25	586	187	22	88.00
24	26	606	194	23	88.46
25	27	613	204	24	88.89
26	28	628	213	25	89.29
27	29	639	221	26	89.66
28	30	639	221	26	86.67
29	31	650	228	27	87.10
30	33	664	240	29	87.88
31	34	666	250	30	88.24
32	35	667	255	31	88.57
33	36	668	265	32	88.89
34	37	671	274	33	89.19
35	38	671	278	34	89.47
36	39	688	282	35	89.74
37	40	718	285	36	90.00
38	41	736	288	37	90.24
39	42	753	298	38	90.48
40	44	783	316	40	90.91
41	45	785	319	41	91.11
42	46	805	329	42	91.30
43	47	807	339	43	91.49
44	48	833	348	44	91.67
45	49	833	348	44	89.80
46	50	845	352	45	90.00
47	51	866	357	46	90.20
48	52	867	357	47	90.38
49	53	867	365	48	90.57
50	55	929	380	50	90.91
51	56	947	390	51	91.07
52	57	959	393	52	91.23
53	58	1000	397	53	91.38
54	59	1020	404	54	91.53
55	60	1042	408	55	91.67
56	61	1042	415	56	91.80
57	62	1045	425	57	91.94
58	63	1052	432	58	92.06
59	64	1053	437	59	92.19
60	66	1056	448	61	92.42
61	67	1113	454	62	92.54
62	68	1127	462	63	92.65
63	69	1140	472	64	92.75
64	70	1153	476	65	92.86
65	71	1164	486	66	92.96
66	72	1165	489	67	93.06
67	73	1168	490	68	93.15
68	74	1168	493	69	93.24
69	75	1172	497	70	93.33
70	77	1186	503	72	93.51
71	78	1203	513	73	93.59
72	79	1220	518	74	93.67
73	80	1232	527	75	93.75
74	81	1240	528	76	93.83
75	82	1256	534	77	93.90
76	83	1259	539	78	93.98
77	84	1277	548	79	94.05
78	85	1281	550	80	94.12
79	86	1283	558	81	94.19
80	88	1304	572	83	94.32
81	89	1311	582	84	94.38
82	90	1313	592	85	94.44
83	91	1331	602	86	94.51
84	92	1351	611	87	94.57
85	93	1351	614	88	94.62
86	94	1354	618	89	94.68
87	95	1364	622	90	94.74
88	96	1377	630	91	94.79
89	97	1381	635	92	94.85
90	99	1384	655	94	94.95
91	100	1398	665	95	95.00
92	101	1398	666	96	95.05
93	102	1401	668	97	95.10
94	103	1404	669	98	95.15
95	104	1410	672	99	95.19
96	105	1428	682	100	95.24
97	106	1437	687	101	95.28
98	107	1443	689	102	95.33
99	108	1443	690	103	95.37
100	110	1477	693	105	95.45
