Percentage	Tests_Executed	Functions_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	3	398	23	3	100.00
2	7	915	48	7	100.00
3	11	991	65	11	100.00
4	15	1343	81	15	100.00
5	19	1460	96	19	100.00
6	23	1666	112	23	100.00
7	26	1714	120	26	100.00
8	30	1879	135	30	100.00
9	34	1995	150	34	100.00
10	38	2044	158	38	100.00
11	42	2141	176	42	100.00
12	46	2297	187	46	100.00
13	49	2311	191	49	100.00
14	53	2338	201	53	100.00
15	57	2346	209	56	98.25
16	61	2359	222	59	96.72
17	65	2445	226	63	96.92
18	69	2513	233	67	97.10
19	72	2583	240	70	97.22
20	76	2763	253	74	97.37
21	80	2779	259	78	97.50
22	84	2813	271	82	97.62
23	88	2866	281	86	97.73
24	92	2880	290	90	97.83
25	96	2955	298	94	97.92
26	99	3029	302	97	97.98
27	103	3047	315	101	98.06
28	107	3166	325	104	97.20
29	111	3184	337	108	97.30
30	115	3232	350	112	97.39
31	119	3268	369	116	97.48
32	122	3277	374	119	97.54
33	126	3288	383	122	96.83
34	130	3305	393	126	96.92
35	134	3329	398	129	96.27
36	138	3362	402	133	96.38
37	142	3384	408	137	96.48
38	145	3390	411	140	96.55
39	149	3417	418	144	96.64
40	153	3459	422	148	96.73
41	157	3507	427	152	96.82
42	161	3516	431	156	96.89
43	165	3526	437	160	96.97
44	168	3563	440	163	97.02
45	172	3581	456	166	96.51
46	176	3589	461	169	96.02
47	180	3606	471	172	95.56
48	184	3624	474	175	95.11
49	188	3631	485	177	94.15
50	192	3651	497	181	94.27
51	195	3668	499	183	93.85
52	199	3683	511	187	93.97
53	203	3719	512	188	92.61
54	207	3725	517	191	92.27
55	211	3747	524	195	92.42
56	215	3805	532	199	92.56
57	218	3811	533	202	92.66
58	222	3838	541	206	92.79
59	226	3878	548	210	92.92
60	230	3887	552	214	93.04
61	234	3931	556	216	92.31
62	238	4033	565	220	92.44
63	241	4064	568	222	92.12
64	245	4075	575	225	91.84
65	249	4112	585	229	91.97
66	253	4164	589	232	91.70
67	257	4199	594	235	91.44
68	261	4246	603	238	91.19
69	264	4299	604	239	90.53
70	268	4345	610	242	90.30
71	272	4364	616	244	89.71
72	276	4377	620	247	89.49
73	280	4420	629	251	89.64
74	284	4426	634	255	89.79
75	288	4458	640	259	89.93
76	291	4470	650	262	90.03
77	295	4523	652	265	89.83
78	299	4564	657	268	89.63
79	303	4567	662	271	89.44
80	307	4601	672	275	89.58
81	311	4643	683	279	89.71
82	314	4649	687	282	89.81
83	318	4649	687	284	89.31
84	322	4659	691	287	89.13
85	326	4676	699	291	89.26
86	330	4684	705	294	89.09
87	334	4710	707	297	88.92
88	337	4720	709	300	89.02
89	341	4721	712	303	88.86
90	345	4731	716	307	88.99
91	349	4738	716	309	88.54
92	353	4759	719	313	88.67
93	357	4779	729	317	88.80
94	360	4819	732	319	88.61
95	364	4842	736	322	88.46
96	368	4876	737	324	88.04
97	372	4895	742	326	87.63
98	376	4906	747	329	87.50
99	380	4910	748	330	86.84
100	384	4916	754	334	86.98
