Percentage	Tests_Executed	Functions_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	3	121	21	3	100.00
2	7	122	24	6	85.71
3	11	124	24	7	63.64
4	14	130	24	7	50.00
5	18	131	32	9	50.00
6	22	132	33	10	45.45
7	25	132	33	11	44.00
8	29	132	33	13	44.83
9	33	133	35	15	45.45
10	37	135	35	16	43.24
11	40	135	36	17	42.50
12	44	135	36	17	38.64
13	48	135	36	17	35.42
14	51	137	45	18	35.29
15	55	137	45	18	32.73
16	59	137	45	18	30.51
17	62	137	45	18	29.03
18	66	137	45	19	28.79
19	70	137	45	19	27.14
20	74	137	45	21	28.38
21	77	137	45	22	28.57
22	81	137	45	22	27.16
23	85	139	46	23	27.06
24	88	139	46	23	26.14
25	92	139	47	24	26.09
26	96	139	47	26	27.08
27	99	139	47	26	26.26
28	103	139	47	26	25.24
29	107	139	47	26	24.30
30	111	139	47	26	23.42
31	114	139	47	26	22.81
32	118	139	47	26	22.03
33	122	139	47	26	21.31
34	125	139	47	26	20.80
35	129	139	47	26	20.16
36	133	139	51	27	20.30
37	136	139	51	27	19.85
38	140	139	51	27	19.29
39	144	153	51	27	18.75
40	148	153	51	27	18.24
41	151	153	51	27	17.88
42	155	153	51	27	17.42
43	159	153	51	27	16.98
44	162	153	51	27	16.67
45	166	153	51	27	16.27
46	170	153	51	27	15.88
47	173	153	51	27	15.61
48	177	153	51	27	15.25
49	181	153	51	27	14.92
50	185	153	51	27	14.59
51	188	153	51	27	14.36
52	192	153	51	27	14.06
53	196	153	51	27	13.78
54	199	153	51	27	13.57
55	203	153	51	27	13.30
56	207	153	51	27	13.04
57	210	153	54	28	13.33
58	214	153	54	28	13.08
59	218	153	54	28	12.84
60	222	157	55	29	13.06
61	225	157	55	29	12.89
62	229	157	55	29	12.66
63	233	157	55	29	12.45
64	236	157	55	29	12.29
65	240	157	55	29	12.08
66	244	157	55	29	11.89
67	247	157	55	29	11.74
68	251	157	55	29	11.55
69	255	157	55	29	11.37
70	259	157	55	29	11.20
71	262	157	55	29	11.07
72	266	157	55	29	10.90
73	270	157	55	29	10.74
74	273	157	55	29	10.62
75	277	157	55	29	10.47
76	281	157	55	29	10.32
77	284	157	55	29	10.21
78	288	157	56	30	10.42
79	292	157	56	30	10.27
80	296	157	56	30	10.14
81	299	157	56	30	10.03
82	303	157	57	31	10.23
83	307	157	57	31	10.10
84	310	157	57	31	10.00
85	314	157	57	31	9.87
86	318	157	57	31	9.75
87	321	157	57	31	9.66
88	325	157	57	31	9.54
89	329	157	57	31	9.42
90	333	157	57	31	9.31
91	336	157	57	31	9.23
92	340	157	57	31	9.12
93	344	157	57	31	9.01
94	347	157	57	31	8.93
95	351	157	57	31	8.83
96	355	157	57	31	8.73
97	358	157	57	31	8.66
98	362	157	57	32	8.84
99	366	157	57	32	8.74
100	370	157	57	32	8.65
