Percentage	Tests_Executed	Functions_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	1	401	10	1	100.00
2	2	508	15	2	100.00
3	3	564	17	3	100.00
4	4	606	18	4	100.00
5	6	644	18	4	66.67
6	7	675	20	5	71.43
7	8	677	28	6	75.00
8	9	727	30	7	77.78
9	10	747	31	8	80.00
10	12	776	32	9	75.00
11	13	793	32	10	76.92
12	14	831	32	11	78.57
13	15	961	35	12	80.00
14	17	1000	37	14	82.35
15	18	1035	39	15	83.33
16	19	1035	39	15	78.95
17	20	1038	39	15	75.00
18	21	1103	41	16	76.19
19	23	1139	43	18	78.26
20	24	1140	46	19	79.17
21	25	1172	47	20	80.00
22	26	1177	47	21	80.77
23	28	1217	48	23	82.14
24	29	1287	49	24	82.76
25	30	1311	49	25	83.33
26	31	1319	49	26	83.87
27	32	1328	49	27	84.38
28	34	1340	49	28	82.35
29	35	1345	49	29	82.86
30	36	1378	49	29	80.56
31	37	1378	50	30	81.08
32	39	1401	51	31	79.49
33	40	1411	51	31	77.50
34	41	1439	51	31	75.61
35	42	1443	51	32	76.19
36	43	1477	51	33	76.74
37	45	1486	51	33	73.33
38	46	1513	51	34	73.91
39	47	1527	53	35	74.47
40	48	1562	53	36	75.00
41	50	1613	55	37	74.00
42	51	1619	55	38	74.51
43	52	1649	57	39	75.00
44	53	1652	57	40	75.47
45	54	1674	59	41	75.93
46	56	1682	59	42	75.00
47	57	1688	60	43	75.44
48	58	1690	60	44	75.86
49	59	1690	60	44	74.58
50	61	1702	60	45	73.77
51	62	1713	60	45	72.58
52	63	1726	61	46	73.02
53	64	1744	61	47	73.44
54	65	1762	61	47	72.31
55	67	1768	62	48	71.64
56	68	1771	63	49	72.06
57	69	1771	63	49	71.01
58	70	1846	63	50	71.43
59	71	1849	63	51	71.83
60	73	1867	73	53	72.60
61	74	1875	73	54	72.97
62	75	1894	73	55	73.33
63	76	1898	73	55	72.37
64	78	1902	73	57	73.08
65	79	1906	75	58	73.42
66	80	1907	75	58	72.50
67	81	1908	75	59	72.84
68	82	1908	75	60	73.17
69	84	1910	75	60	71.43
70	85	1920	77	61	71.76
71	86	1921	78	62	72.09
72	87	1921	78	62	71.26
73	89	1927	78	63	70.79
74	90	1928	79	64	71.11
75	91	1928	79	64	70.33
76	92	1928	79	65	70.65
77	93	1938	80	66	70.97
78	95	1964	80	67	70.53
79	96	1964	80	67	69.79
80	97	1964	90	68	70.10
81	98	1964	90	69	70.41
82	100	1982	90	70	70.00
83	101	1982	90	70	69.31
84	102	1998	90	71	69.61
85	103	2015	90	71	68.93
86	104	2015	90	72	69.23
87	106	2062	92	73	68.87
88	107	2065	92	74	69.16
89	108	2065	92	75	69.44
90	109	2074	94	76	69.72
91	111	2091	95	77	69.37
92	112	2091	95	78	69.64
93	113	2097	96	79	69.91
94	114	2098	96	80	70.18
95	115	2115	96	81	70.43
96	117	2166	97	83	70.94
97	118	2167	97	84	71.19
98	119	2168	97	85	71.43
99	120	2171	97	86	71.67
100	122	2171	98	87	71.31
