Percentage	Tests_Executed	Branches_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	2	338	10	1	50.00
2	4	344	10	1	25.00
3	6	360	11	2	33.33
4	8	563	19	3	37.50
5	10	566	28	4	40.00
6	12	569	28	4	33.33
7	14	569	28	4	28.57
8	17	628	40	6	35.29
9	19	628	40	6	31.58
10	21	680	42	7	33.33
11	23	680	42	7	30.43
12	25	680	42	7	28.00
13	27	682	42	7	25.93
14	29	682	42	7	24.14
15	32	682	42	7	21.88
16	34	723	43	8	23.53
17	36	740	44	9	25.00
18	38	740	44	9	23.68
19	40	740	44	9	22.50
20	42	740	45	10	23.81
21	44	752	46	11	25.00
22	47	752	47	12	25.53
23	49	752	47	13	26.53
24	51	752	47	13	25.49
25	53	752	47	13	24.53
26	55	752	50	14	25.45
27	57	752	50	14	24.56
28	59	752	50	14	23.73
29	62	764	50	14	22.58
30	64	764	50	14	21.88
31	66	764	50	14	21.21
32	68	764	50	14	20.59
33	70	764	51	15	21.43
34	72	764	51	15	20.83
35	74	764	51	15	20.27
36	77	807	55	16	20.78
37	79	807	55	16	20.25
38	81	815	57	17	20.99
39	83	815	57	17	20.48
40	85	815	57	17	20.00
41	87	815	57	17	19.54
42	89	818	57	17	19.10
43	92	818	57	17	18.48
44	94	818	57	17	18.09
45	96	818	57	17	17.71
46	98	818	57	17	17.35
47	100	825	57	17	17.00
48	102	825	57	17	16.67
49	104	825	57	17	16.35
50	107	827	57	18	16.82
51	109	827	57	18	16.51
52	111	827	57	18	16.22
53	113	827	57	18	15.93
54	115	827	57	18	15.65
55	117	827	57	18	15.38
56	119	827	57	18	15.13
57	121	827	57	18	14.88
58	124	847	58	19	15.32
59	126	851	59	20	15.87
60	128	851	59	20	15.62
61	130	851	59	20	15.38
62	132	851	59	20	15.15
63	134	851	59	20	14.93
64	136	851	59	20	14.71
65	139	859	60	21	15.11
66	141	859	60	21	14.89
67	143	859	60	21	14.69
68	145	859	60	21	14.48
69	147	859	60	21	14.29
70	149	859	60	21	14.09
71	151	859	60	21	13.91
72	154	859	60	21	13.64
73	156	859	60	21	13.46
74	158	867	66	22	13.92
75	160	867	66	22	13.75
76	162	867	66	22	13.58
77	164	867	66	22	13.41
78	166	867	66	22	13.25
79	169	869	67	23	13.61
80	171	869	67	23	13.45
81	173	869	67	23	13.29
82	175	869	67	23	13.14
83	177	869	67	23	12.99
84	179	870	67	23	12.85
85	181	870	67	23	12.71
86	184	870	67	23	12.50
87	186	870	67	23	12.37
88	188	871	67	23	12.23
89	190	871	67	23	12.11
90	192	871	67	23	11.98
91	194	871	67	23	11.86
92	196	871	68	24	12.24
93	199	880	70	25	12.56
94	201	880	70	25	12.44
95	203	880	70	25	12.32
96	205	880	70	25	12.20
97	207	880	70	25	12.08
98	209	880	70	25	11.96
99	211	880	71	26	12.32
100	214	880	71	26	12.15
