Percentage	Tests_Executed	Branches_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	1	10	10	1	100.00
2	2	166	20	2	100.00
3	3	366	30	3	100.00
4	4	386	40	4	100.00
5	5	496	50	5	100.00
6	6	500	60	6	100.00
7	7	500	60	6	85.71
8	8	506	70	7	87.50
9	9	742	80	8	88.89
10	11	1138	98	10	90.91
11	12	1190	108	11	91.67
12	13	1194	118	12	92.31
13	14	1212	128	13	92.86
14	15	1218	138	14	93.33
15	16	1234	140	15	93.75
16	17	1284	150	16	94.12
17	18	1288	160	17	94.44
18	19	1300	168	18	94.74
19	20	1336	173	19	95.00
20	22	1430	192	21	95.45
21	23	1516	202	22	95.65
22	24	1634	210	23	95.83
23	25	1634	220	24	96.00
24	26	1634	220	24	92.31
25	27	1678	228	25	92.59
26	28	1856	237	26	92.86
27	29	1878	247	27	93.10
28	30	1914	257	28	93.33
29	31	2180	267	29	93.55
30	33	2248	281	31	93.94
31	34	2336	286	32	94.12
32	35	2392	296	33	94.29
33	36	2394	304	34	94.44
34	37	2422	310	35	94.59
35	38	2426	320	36	94.74
36	39	2446	327	37	94.87
37	40	2522	330	38	95.00
38	41	2570	338	39	95.12
39	42	2590	348	40	95.24
40	44	2598	354	41	93.18
41	45	2630	363	42	93.33
42	46	2630	364	43	93.48
43	47	2782	369	44	93.62
44	48	2856	376	45	93.75
45	49	2862	382	46	93.88
46	50	2862	385	47	94.00
47	51	3052	395	48	94.12
48	52	3366	405	49	94.23
49	53	3368	415	50	94.34
50	55	3416	434	52	94.55
51	56	3536	443	53	94.64
52	57	3566	446	54	94.74
53	58	3638	456	55	94.83
54	59	3706	462	56	94.92
55	60	3706	471	57	95.00
56	61	3732	479	58	95.08
57	62	3734	482	59	95.16
58	63	4234	487	60	95.24
59	64	4342	496	61	95.31
60	66	4348	509	63	95.45
61	67	4504	519	64	95.52
62	68	4504	523	65	95.59
63	69	4504	529	66	95.65
64	70	4538	537	67	95.71
65	71	4538	537	67	94.37
66	72	4614	547	68	94.44
67	73	4638	557	69	94.52
68	74	4674	567	70	94.59
69	75	4684	573	71	94.67
70	77	4690	584	73	94.81
71	78	4938	594	74	94.87
72	79	4948	604	75	94.94
73	80	4948	613	76	95.00
74	81	4948	613	76	93.83
75	82	5156	621	77	93.90
76	83	5156	621	78	93.98
77	84	5160	631	79	94.05
78	85	5160	634	80	94.12
79	86	5160	637	81	94.19
80	88	5186	646	83	94.32
81	89	5186	646	83	93.26
82	90	5196	656	84	93.33
83	91	5370	666	85	93.41
84	92	5372	667	86	93.48
85	93	5378	677	87	93.55
86	94	5378	679	88	93.62
87	95	5380	687	89	93.68
88	96	5920	696	90	93.75
89	97	5936	701	91	93.81
90	99	6038	707	93	93.94
91	100	6128	711	94	94.00
92	101	6218	716	95	94.06
93	102	6218	721	96	94.12
94	103	6306	726	97	94.17
95	104	6372	733	98	94.23
96	105	6424	738	99	94.29
97	106	6438	746	100	94.34
98	107	6478	756	101	94.39
99	108	6486	766	102	94.44
100	110	6490	777	104	94.55
