Percentage	Tests_Executed	Lines_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	3	7266	21	3	100.00
2	7	9946	37	7	100.00
3	10	13424	49	10	100.00
4	14	14050	58	14	100.00
5	17	14788	67	17	100.00
6	21	15116	77	21	100.00
7	24	15428	81	24	100.00
8	28	17296	88	28	100.00
9	31	18852	91	31	100.00
10	35	19430	94	33	94.29
11	39	21262	96	37	94.87
12	42	21832	100	40	95.24
13	46	22232	108	44	95.65
14	49	22844	111	47	95.92
15	53	23518	115	51	96.23
16	56	24250	116	54	96.43
17	60	24874	120	58	96.67
18	63	24956	120	61	96.83
19	67	25324	123	65	97.01
20	71	25530	128	68	95.77
21	74	25950	129	70	94.59
22	78	26266	131	73	93.59
23	81	26712	137	76	93.83
24	85	27056	140	80	94.12
25	88	27624	144	83	94.32
26	92	28142	148	87	94.57
27	95	29114	152	89	93.68
28	99	29484	157	93	93.94
29	102	29822	157	95	93.14
30	106	30452	162	98	92.45
31	110	30758	162	101	91.82
32	113	31196	165	103	91.15
33	117	31682	167	107	91.45
34	120	32704	171	109	90.83
35	124	32984	173	113	91.13
36	127	33456	177	115	90.55
37	131	33552	180	118	90.08
38	134	34406	182	121	90.30
39	138	34648	190	125	90.58
40	142	35320	199	129	90.85
41	145	35882	199	132	91.03
42	149	36108	202	135	90.60
43	152	36314	203	138	90.79
44	156	36786	211	141	90.38
45	159	36856	211	143	89.94
46	163	37204	216	147	90.18
47	166	37332	219	150	90.36
48	170	37540	221	152	89.41
49	173	38420	223	155	89.60
50	177	38708	226	159	89.83
51	181	38908	227	162	89.50
52	184	40000	230	165	89.67
53	188	40938	235	169	89.89
54	191	41006	236	171	89.53
55	195	41292	239	175	89.74
56	198	41936	240	178	89.90
57	202	42166	240	180	89.11
58	205	42420	242	182	88.78
59	209	42628	245	185	88.52
60	213	43276	250	188	88.26
61	216	43502	251	191	88.43
62	220	43836	254	195	88.64
63	223	43912	255	197	88.34
64	227	44518	259	199	87.67
65	230	46104	263	202	87.83
66	234	46396	266	204	87.18
67	237	46432	268	207	87.34
68	241	46724	274	211	87.55
69	244	47064	274	214	87.70
70	248	48122	279	218	87.90
71	252	48208	279	220	87.30
72	255	48276	279	222	87.06
73	259	48540	279	225	86.87
74	262	48946	280	228	87.02
75	266	49294	280	230	86.47
76	269	49582	280	233	86.62
77	273	50196	284	237	86.81
78	276	50390	285	240	86.96
79	280	51694	294	243	86.79
80	284	51964	294	247	86.97
81	287	52884	294	249	86.76
82	291	53400	298	253	86.94
83	294	53484	298	256	87.07
84	298	53742	298	260	87.25
85	301	54324	298	263	87.38
86	305	55134	305	267	87.54
87	308	55212	305	269	87.34
88	312	55484	306	271	86.86
89	315	55942	307	274	86.98
90	319	56370	311	278	87.15
91	323	56814	314	282	87.31
92	326	56842	314	283	86.81
93	330	56882	314	285	86.36
94	333	57294	319	288	86.49
95	337	57672	320	291	86.35
96	340	57704	322	294	86.47
97	344	58142	323	296	86.05
98	347	58306	323	298	85.88
99	351	58438	324	301	85.75
100	355	58688	324	305	85.92
