Percentage	Tests_Executed	Lines_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	2	7260	17	2	100.00
2	4	8850	30	4	100.00
3	6	9156	42	6	100.00
4	8	13758	53	8	100.00
5	10	14358	66	10	100.00
6	13	18786	79	13	100.00
7	15	19354	89	15	100.00
8	17	19518	97	17	100.00
9	19	19782	105	19	100.00
10	21	20826	114	21	100.00
11	23	23262	123	23	100.00
12	26	27326	136	26	100.00
13	28	28148	142	28	100.00
14	30	29944	149	30	100.00
15	32	34202	159	32	100.00
16	34	34324	167	34	100.00
17	36	36402	179	36	100.00
18	39	37204	187	39	100.00
19	41	37308	199	41	100.00
20	43	37612	207	43	100.00
21	45	39118	215	45	100.00
22	47	40214	224	47	100.00
23	49	40938	233	49	100.00
24	52	41580	241	52	100.00
25	54	41876	249	54	100.00
26	56	42776	257	56	100.00
27	58	43850	268	58	100.00
28	60	44500	273	60	100.00
29	62	44964	279	62	100.00
30	65	45086	285	65	100.00
31	67	45718	288	67	100.00
32	69	47318	302	69	100.00
33	71	47526	310	71	100.00
34	73	49054	313	73	100.00
35	75	49476	321	75	100.00
36	78	51266	337	78	100.00
37	80	51462	342	80	100.00
38	82	52212	349	82	100.00
39	84	52366	356	84	100.00
40	86	52532	360	86	100.00
41	88	52784	368	88	100.00
42	91	52834	373	91	100.00
43	93	54134	381	93	100.00
44	95	54438	386	95	100.00
45	97	54504	394	97	100.00
46	99	54524	403	99	100.00
47	101	54688	411	101	100.00
48	104	55638	421	104	100.00
49	106	56868	429	106	100.00
50	108	57526	432	108	100.00
51	110	57962	439	110	100.00
52	112	58176	447	112	100.00
53	115	58868	454	115	100.00
54	117	59556	459	117	100.00
55	119	66762	464	119	100.00
56	121	66908	467	121	100.00
57	123	66920	473	123	100.00
58	125	67446	477	125	100.00
59	128	67946	481	128	100.00
60	130	67968	485	130	100.00
61	132	68196	489	132	100.00
62	134	68494	496	134	100.00
63	136	68888	499	136	100.00
64	138	68972	504	138	100.00
65	141	69164	512	141	100.00
66	143	69386	513	143	100.00
67	145	69422	517	145	100.00
68	147	69492	523	147	100.00
69	149	69494	525	149	100.00
70	151	69538	528	151	100.00
71	154	69866	537	154	100.00
72	156	70074	542	156	100.00
73	158	70128	546	158	100.00
74	160	70222	552	160	100.00
75	162	70230	557	162	100.00
76	164	70518	561	164	100.00
77	167	70956	568	167	100.00
78	169	72978	572	169	100.00
79	171	73036	576	171	100.00
80	173	73142	579	173	100.00
81	175	73720	583	175	100.00
82	177	73866	588	177	100.00
83	180	74006	591	180	100.00
84	182	74026	592	182	100.00
85	184	74050	594	184	100.00
86	186	74080	598	186	100.00
87	188	74138	600	188	100.00
88	190	74276	604	190	100.00
89	193	74436	611	193	100.00
90	195	74462	615	195	100.00
91	197	74568	621	197	100.00
92	199	75110	625	199	100.00
93	201	75172	628	201	100.00
94	203	75268	631	203	100.00
95	206	75300	637	206	100.00
96	208	75338	638	208	100.00
97	210	75450	645	210	100.00
98	212	75496	646	212	100.00
99	214	75654	653	214	100.00
100	217	76174	660	217	100.00
