Percentage	Tests_Executed	Lines_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	6	2173	39	6	100.00
2	13	2386	54	13	100.00
3	20	2419	74	20	100.00
4	26	2573	92	26	100.00
5	33	2632	110	33	100.00
6	40	2643	122	40	100.00
7	46	2643	129	46	100.00
8	53	2643	136	53	100.00
9	60	2697	143	60	100.00
10	67	2766	152	67	100.00
11	73	2771	161	73	100.00
12	80	2778	172	80	100.00
13	87	2833	182	87	100.00
14	93	2833	186	93	100.00
15	100	2834	196	100	100.00
16	107	2834	201	106	99.07
17	113	2834	206	112	99.12
18	120	2834	215	119	99.17
19	127	2889	227	126	99.21
20	134	2897	235	133	99.25
21	140	2904	242	139	99.29
22	147	2904	249	146	99.32
23	154	2909	255	153	99.35
24	160	2909	258	159	99.38
25	167	2909	261	165	98.80
26	174	2909	269	172	98.85
27	180	2938	279	178	98.89
28	187	2956	286	185	98.93
29	194	2956	290	192	98.97
30	201	2968	300	199	99.00
31	207	2968	305	205	99.03
32	214	2982	313	212	99.07
33	221	3009	317	219	99.10
34	227	3009	325	225	99.12
35	234	3009	325	232	99.15
36	241	3009	328	239	99.17
37	247	3010	336	245	99.19
38	254	3010	343	252	99.21
39	261	3040	350	259	99.23
40	268	3046	355	266	99.25
41	274	3046	356	271	98.91
42	281	3046	362	278	98.93
43	288	3046	366	284	98.61
44	294	3046	369	290	98.64
45	301	3061	372	297	98.67
46	308	3065	378	304	98.70
47	314	3065	383	310	98.73
48	321	3065	390	317	98.75
49	328	3065	400	324	98.78
50	335	3065	407	331	98.81
51	341	3065	412	337	98.83
52	348	3065	415	344	98.85
53	355	3082	418	351	98.87
54	361	3082	420	356	98.61
55	368	3088	422	363	98.64
56	375	3088	425	370	98.67
57	381	3088	427	376	98.69
58	388	3088	433	383	98.71
59	395	3088	436	390	98.73
60	402	3088	443	397	98.76
61	408	3090	447	403	98.77
62	415	3090	450	409	98.55
63	422	3093	454	415	98.34
64	428	3096	456	421	98.36
65	435	3096	460	428	98.39
66	442	3144	470	435	98.42
67	448	3144	479	441	98.44
68	455	3144	485	448	98.46
69	462	3145	492	455	98.48
70	469	3154	499	462	98.51
71	475	3154	502	468	98.53
72	482	3157	506	475	98.55
73	489	3157	511	482	98.57
74	495	3157	513	487	98.38
75	502	3164	522	494	98.41
76	509	3164	530	500	98.23
77	515	3164	537	506	98.25
78	522	3164	546	513	98.28
79	529	3183	551	519	98.11
80	536	3183	556	525	97.95
81	542	3184	559	531	97.97
82	549	3186	564	537	97.81
83	556	3186	566	543	97.66
84	562	3186	568	549	97.69
85	569	3192	571	554	97.36
86	576	3192	575	561	97.40
87	582	3231	579	567	97.42
88	589	3237	584	574	97.45
89	596	3238	589	581	97.48
90	603	3238	596	588	97.51
91	609	3240	600	594	97.54
92	616	3240	603	601	97.56
93	623	3240	608	608	97.59
94	629	3256	615	614	97.62
95	636	3256	621	621	97.64
96	643	3256	625	628	97.67
97	649	3256	629	634	97.69
98	656	3256	635	640	97.56
99	663	3284	639	647	97.59
100	670	3284	648	653	97.46
