Percentage	Tests_Executed	Lines_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	8	1373	62	8	100.00
2	16	1506	105	16	100.00
3	24	1539	134	24	100.00
4	32	1606	174	32	100.00
5	40	1641	202	40	100.00
6	48	1668	230	48	100.00
7	56	1886	266	56	100.00
8	64	1905	287	64	100.00
9	72	1924	320	72	100.00
10	80	1932	337	80	100.00
11	88	1979	363	88	100.00
12	97	1979	393	97	100.00
13	105	1985	409	105	100.00
14	113	2001	426	113	100.00
15	121	2003	447	121	100.00
16	129	2003	455	129	100.00
17	137	2012	483	137	100.00
18	145	2022	507	145	100.00
19	153	2022	516	153	100.00
20	161	2022	537	161	100.00
21	169	2022	556	169	100.00
22	177	2022	568	177	100.00
23	186	2054	592	186	100.00
24	194	2055	605	193	99.48
25	202	2059	634	201	99.50
26	210	2065	649	209	99.52
27	218	2065	665	217	99.54
28	226	2070	681	225	99.56
29	234	2071	689	233	99.57
30	242	2075	707	241	99.59
31	250	2075	713	248	99.20
32	258	2080	728	255	98.84
33	266	2081	743	263	98.87
34	275	2083	756	270	98.18
35	283	2092	769	278	98.23
36	291	2094	778	286	98.28
37	299	2094	789	294	98.33
38	307	2095	805	302	98.37
39	315	2096	823	309	98.10
40	323	2098	839	317	98.14
41	331	2098	859	325	98.19
42	339	2099	867	333	98.23
43	347	2099	879	339	97.69
44	355	2101	894	347	97.75
45	364	2104	918	356	97.80
46	372	2104	925	364	97.85
47	380	2104	936	372	97.89
48	388	2106	951	380	97.94
49	396	2106	964	388	97.98
50	404	2106	969	396	98.02
51	412	2106	985	404	98.06
52	420	2106	1000	412	98.10
53	428	2123	1016	420	98.13
54	436	2124	1025	428	98.17
55	444	2129	1037	435	97.97
56	453	2142	1057	443	97.79
57	461	2142	1078	451	97.83
58	469	2142	1090	459	97.87
59	477	2142	1097	466	97.69
60	485	2149	1105	473	97.53
61	493	2149	1111	480	97.36
62	501	2149	1127	488	97.41
63	509	2150	1138	495	97.25
64	517	2150	1145	503	97.29
65	525	2150	1153	511	97.33
66	533	2150	1164	519	97.37
67	542	2150	1180	528	97.42
68	550	2151	1193	536	97.45
69	558	2152	1200	543	97.31
70	566	2152	1207	551	97.35
71	574	2152	1211	559	97.39
72	582	2152	1216	567	97.42
73	590	2152	1221	575	97.46
74	598	2152	1228	582	97.32
75	606	2152	1232	588	97.03
76	614	2158	1241	596	97.07
77	622	2158	1253	604	97.11
78	631	2158	1267	613	97.15
79	639	2158	1281	621	97.18
80	647	2158	1286	628	97.06
81	655	2159	1290	635	96.95
82	663	2165	1299	643	96.98
83	671	2165	1311	651	97.02
84	679	2165	1317	657	96.76
85	687	2165	1330	665	96.80
86	695	2165	1333	672	96.69
87	703	2165	1338	680	96.73
88	711	2180	1346	688	96.77
89	720	2182	1355	696	96.67
90	728	2182	1371	704	96.70
91	736	2182	1376	712	96.74
92	744	2182	1378	719	96.64
93	752	2190	1387	726	96.54
94	760	2190	1402	734	96.58
95	768	2191	1413	741	96.48
96	776	2191	1427	747	96.26
97	784	2191	1432	754	96.17
98	792	2191	1436	762	96.21
99	800	2191	1446	770	96.25
100	809	2191	1449	776	95.92
