Percentage	Tests_Executed	Lines_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	2	523	18	2	100.00
2	4	537	23	4	100.00
3	6	570	39	6	100.00
4	8	580	51	8	100.00
5	10	1006	67	10	100.00
6	12	1010	73	12	100.00
7	14	1010	78	14	100.00
8	17	1021	87	17	100.00
9	19	1021	93	19	100.00
10	21	1021	103	21	100.00
11	23	1038	112	23	100.00
12	25	1038	119	25	100.00
13	27	1038	126	27	100.00
14	29	1038	131	29	100.00
15	32	1038	133	32	100.00
16	34	1044	143	34	100.00
17	36	1044	148	36	100.00
18	38	1044	160	38	100.00
19	40	1044	162	40	100.00
20	42	1044	163	41	97.62
21	44	1044	174	43	97.73
22	47	1053	183	46	97.87
23	49	1065	193	48	97.96
24	51	1065	197	50	98.04
25	53	1065	199	52	98.11
26	55	1072	209	54	98.18
27	57	1072	210	56	98.25
28	59	1072	212	58	98.31
29	62	1085	224	61	98.39
30	64	1085	228	63	98.44
31	66	1085	234	65	98.48
32	68	1085	238	67	98.53
33	70	1085	239	69	98.57
34	72	1085	243	71	98.61
35	74	1085	245	73	98.65
36	77	1085	250	76	98.70
37	79	1085	252	78	98.73
38	81	1085	260	80	98.77
39	83	1085	265	82	98.80
40	85	1085	267	84	98.82
41	87	1085	275	86	98.85
42	89	1101	284	88	98.88
43	92	1109	297	91	98.91
44	94	1109	298	93	98.94
45	96	1109	301	95	98.96
46	98	1109	306	97	98.98
47	100	1109	307	98	98.00
48	102	1109	307	99	97.06
49	104	1109	313	101	97.12
50	107	1134	318	104	97.20
51	109	1134	322	106	97.25
52	111	1134	324	108	97.30
53	113	1134	327	110	97.35
54	115	1134	329	112	97.39
55	117	1135	336	114	97.44
56	119	1135	339	116	97.48
57	121	1139	348	118	97.52
58	124	1139	351	121	97.58
59	126	1219	356	123	97.62
60	128	1277	368	125	97.66
61	130	1277	372	127	97.69
62	132	1277	376	129	97.73
63	134	1277	381	130	97.01
64	136	1277	382	132	97.06
65	139	1277	387	134	96.40
66	141	1277	391	136	96.45
67	143	1277	394	138	96.50
68	145	1277	395	140	96.55
69	147	1278	399	142	96.60
70	149	1278	402	144	96.64
71	151	1278	410	146	96.69
72	154	1278	419	149	96.75
73	156	1278	422	151	96.79
74	158	1278	426	153	96.84
75	160	1278	429	155	96.88
76	162	1278	431	157	96.91
77	164	1278	437	159	96.95
78	166	1297	443	161	96.99
79	169	1297	447	164	97.04
80	171	1297	447	166	97.08
81	173	1297	448	168	97.11
82	175	1297	448	169	96.57
83	177	1297	452	171	96.61
84	179	1297	454	172	96.09
85	181	1297	459	174	96.13
86	184	1297	461	177	96.20
87	186	1297	463	179	96.24
88	188	1297	466	181	96.28
89	190	1302	471	183	96.32
90	192	1302	472	184	95.83
91	194	1302	472	185	95.36
92	196	1302	475	187	95.41
93	199	1302	486	190	95.48
94	201	1302	495	192	95.52
95	203	1302	497	194	95.57
96	205	1302	501	196	95.61
97	207	1302	504	198	95.65
98	209	1302	508	200	95.69
99	211	1302	510	201	95.26
100	214	1302	518	204	95.33
