Percentage	Tests_Executed	Lines_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	1	124	10	1	100.00
2	2	160	16	2	100.00
3	3	270	22	3	100.00
4	4	516	29	4	100.00
5	5	552	33	5	100.00
6	6	760	40	6	100.00
7	7	1152	44	7	100.00
8	8	1264	49	8	100.00
9	9	1382	54	9	100.00
10	11	2774	69	11	100.00
11	12	3058	73	12	100.00
12	13	3140	75	13	100.00
13	14	3532	79	14	100.00
14	15	3626	80	15	100.00
15	16	3708	80	16	100.00
16	17	4018	85	17	100.00
17	18	4090	90	18	100.00
18	19	4986	97	19	100.00
19	20	5034	98	20	100.00
20	22	5614	105	22	100.00
21	23	6012	113	23	100.00
22	24	6990	121	24	100.00
23	25	7004	125	25	100.00
24	26	7010	126	26	100.00
25	27	7050	127	27	100.00
26	28	7076	128	28	100.00
27	29	7386	134	29	100.00
28	30	7404	135	30	100.00
29	31	7584	141	31	100.00
30	33	7916	150	33	100.00
31	34	8030	152	34	100.00
32	35	8206	158	35	100.00
33	36	8572	165	36	100.00
34	37	8640	169	37	100.00
35	38	8644	171	38	100.00
36	39	8644	172	39	100.00
37	40	8758	173	40	100.00
38	41	8786	177	41	100.00
39	42	8958	184	42	100.00
40	44	9138	187	44	100.00
41	45	9638	192	45	100.00
42	46	11578	197	46	100.00
43	47	11660	201	47	100.00
44	48	11894	205	48	100.00
45	49	12334	211	49	100.00
46	50	12346	213	50	100.00
47	51	12486	216	51	100.00
48	52	12674	222	52	100.00
49	53	12702	225	53	100.00
50	55	13454	232	55	100.00
51	56	13556	238	56	100.00
52	57	14184	243	57	100.00
53	58	14380	248	58	100.00
54	59	14496	251	59	100.00
55	60	14496	252	60	100.00
56	61	14510	254	61	100.00
57	62	14600	260	62	100.00
58	63	14686	263	63	100.00
59	64	14750	264	64	100.00
60	66	14868	269	66	100.00
61	67	14870	269	66	98.51
62	68	15162	272	67	98.53
63	69	15274	275	68	98.55
64	70	15796	278	69	98.57
65	71	15908	280	70	98.59
66	72	15912	282	71	98.61
67	73	17222	284	72	98.63
68	74	17418	288	73	98.65
69	75	17446	290	74	98.67
70	77	17556	299	76	98.70
71	78	17806	303	77	98.72
72	79	17864	303	78	98.73
73	80	17920	304	79	98.75
74	81	18370	305	80	98.77
75	82	18386	306	81	98.78
76	83	18464	307	82	98.80
77	84	18602	308	83	98.81
78	85	18624	311	84	98.82
79	86	18706	313	85	98.84
80	88	19308	319	87	98.86
81	89	20264	322	88	98.88
82	90	20510	327	89	98.89
83	91	20530	331	90	98.90
84	92	20530	335	91	98.91
85	93	20540	336	92	98.92
86	94	20592	338	93	98.94
87	95	20632	340	94	98.95
88	96	21066	343	95	98.96
89	97	21080	344	96	98.97
90	99	21110	349	98	98.99
91	100	21164	352	99	99.00
92	101	21164	354	100	99.01
93	102	21226	359	101	99.02
94	103	21608	359	102	99.03
95	104	21688	359	103	99.04
96	105	21696	359	103	98.10
97	106	21698	360	104	98.11
98	107	22408	368	105	98.13
99	108	22476	369	106	98.15
100	110	22650	376	108	98.18
