Percentage	Tests_Executed	Lines_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	8	1714	22	3	37.50
2	17	2568	27	5	29.41
3	26	2571	35	6	23.08
4	35	2636	39	8	22.86
5	43	2636	39	8	18.60
6	52	2636	39	8	15.38
7	61	2636	39	8	13.11
8	70	2636	39	8	11.43
9	78	2655	41	9	11.54
10	87	2655	41	9	10.34
11	96	2656	41	9	9.38
12	105	2657	41	9	8.57
13	113	2666	41	9	7.96
14	122	2666	41	9	7.38
15	131	2675	42	10	7.63
16	140	2675	42	10	7.14
17	148	2675	42	10	6.76
18	157	2675	42	10	6.37
19	166	2675	42	10	6.02
20	175	2675	42	10	5.71
21	183	2675	42	10	5.46
22	192	2679	43	11	5.73
23	201	2680	43	11	5.47
24	210	2680	43	11	5.24
25	218	2713	43	11	5.05
26	227	2713	43	11	4.85
27	236	2713	43	11	4.66
28	245	2713	43	11	4.49
29	253	2713	43	11	4.35
30	262	2713	43	11	4.20
31	271	2713	43	11	4.06
32	280	2715	44	12	4.29
33	288	2715	44	12	4.17
34	297	2715	44	12	4.04
35	306	2715	44	12	3.92
36	315	2715	44	12	3.81
37	323	2715	44	12	3.72
38	332	2715	44	12	3.61
39	341	2733	44	12	3.52
40	350	2742	45	13	3.71
41	358	2742	45	13	3.63
42	367	2742	45	13	3.54
43	376	2742	45	13	3.46
44	385	2742	45	13	3.38
45	393	2742	45	13	3.31
46	402	2742	45	13	3.23
47	411	2744	45	13	3.16
48	420	2744	45	13	3.10
49	428	2744	45	13	3.04
50	437	2744	45	13	2.97
51	446	2744	45	13	2.91
52	455	2744	45	13	2.86
53	463	2913	47	14	3.02
54	472	2913	47	14	2.97
55	481	2913	47	14	2.91
56	490	2913	47	14	2.86
57	498	2913	47	14	2.81
58	507	2913	47	14	2.76
59	516	2913	47	14	2.71
60	525	2913	47	14	2.67
61	533	2913	47	14	2.63
62	542	2913	47	14	2.58
63	551	2913	47	14	2.54
64	560	2913	47	14	2.50
65	568	2968	48	15	2.64
66	577	2968	48	15	2.60
67	586	2968	48	15	2.56
68	595	2968	48	15	2.52
69	603	2969	48	15	2.49
70	612	2988	48	15	2.45
71	621	2988	48	15	2.42
72	630	2988	48	15	2.38
73	638	2988	48	15	2.35
74	647	2988	48	15	2.32
75	656	2989	48	15	2.29
76	665	2989	48	15	2.26
77	673	2989	48	15	2.23
78	682	2989	48	15	2.20
79	691	2989	48	15	2.17
80	700	2989	48	15	2.14
81	708	2989	48	16	2.26
82	717	2989	48	16	2.23
83	726	2989	48	16	2.20
84	735	3030	50	17	2.31
85	743	3030	50	17	2.29
86	752	3067	50	18	2.39
87	761	3067	50	18	2.37
88	770	3067	50	18	2.34
89	778	3067	50	18	2.31
90	787	3067	50	18	2.29
91	796	3067	50	18	2.26
92	805	3068	50	18	2.24
93	813	3068	50	18	2.21
94	822	3068	50	18	2.19
95	831	3068	50	18	2.17
96	840	3068	50	18	2.14
97	848	3068	50	18	2.12
98	857	3068	50	18	2.10
99	866	3069	50	19	2.19
100	875	3069	50	19	2.17
