Percentage	Tests_Executed	Lines_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	3	1574	11	2	66.67
2	7	1661	12	3	42.86
3	11	1711	24	5	45.45
4	14	1740	31	7	50.00
5	18	1814	33	10	55.56
6	22	1834	34	12	54.55
7	25	1843	34	12	48.00
8	29	1845	35	13	44.83
9	33	1845	35	13	39.39
10	37	1850	36	14	37.84
11	40	1850	36	14	35.00
12	44	1853	36	14	31.82
13	48	1857	37	16	33.33
14	51	1857	37	16	31.37
15	55	1865	38	18	32.73
16	59	1865	38	18	30.51
17	62	1865	38	18	29.03
18	66	1865	38	18	27.27
19	70	1865	38	18	25.71
20	74	1867	38	19	25.68
21	77	1867	38	19	24.68
22	81	1900	39	20	24.69
23	85	1900	39	20	23.53
24	88	1900	39	20	22.73
25	92	2195	42	22	23.91
26	96	2195	42	23	23.96
27	99	2195	42	23	23.23
28	103	2195	42	23	22.33
29	107	2195	42	23	21.50
30	111	2195	42	23	20.72
31	114	2195	42	23	20.18
32	118	2195	43	24	20.34
33	122	2204	43	24	19.67
34	125	2204	44	25	20.00
35	129	2204	44	25	19.38
36	133	2204	46	26	19.55
37	136	2204	46	26	19.12
38	140	2206	46	26	18.57
39	144	2277	47	27	18.75
40	148	2277	47	28	18.92
41	151	2277	47	28	18.54
42	155	2277	47	28	18.06
43	159	2286	48	29	18.24
44	162	2286	48	29	17.90
45	166	2286	48	29	17.47
46	170	2286	48	29	17.06
47	173	2286	48	29	16.76
48	177	2286	48	30	16.95
49	181	2287	57	31	17.13
50	185	2289	57	31	16.76
51	188	2289	57	32	17.02
52	192	2289	57	32	16.67
53	196	2289	57	32	16.33
54	199	2289	57	32	16.08
55	203	2292	65	33	16.26
56	207	2328	65	34	16.43
57	210	2332	65	34	16.19
58	214	2332	65	34	15.89
59	218	2332	65	35	16.06
60	222	2332	65	36	16.22
61	225	2332	65	36	16.00
62	229	2382	65	36	15.72
63	233	2382	65	36	15.45
64	236	2382	65	36	15.25
65	240	2382	67	37	15.42
66	244	2382	67	37	15.16
67	247	2382	67	37	14.98
68	251	2383	68	38	15.14
69	255	2383	68	39	15.29
70	259	2383	68	39	15.06
71	262	2383	68	39	14.89
72	266	2383	68	39	14.66
73	270	2383	68	39	14.44
74	273	2383	68	40	14.65
75	277	2383	68	40	14.44
76	281	2383	68	40	14.23
77	284	2383	68	40	14.08
78	288	2383	68	40	13.89
79	292	2383	68	40	13.70
80	296	2383	68	40	13.51
81	299	2396	68	41	13.71
82	303	2417	68	41	13.53
83	307	2419	68	41	13.36
84	310	2423	68	41	13.23
85	314	2423	68	41	13.06
86	318	2423	68	41	12.89
87	321	2423	68	41	12.77
88	325	2423	68	41	12.62
89	329	2423	68	41	12.46
90	333	2423	68	41	12.31
91	336	2423	68	41	12.20
92	340	2423	68	41	12.06
93	344	2423	68	41	11.92
94	347	2423	68	41	11.82
95	351	2423	68	41	11.68
96	355	2423	68	41	11.55
97	358	2423	68	41	11.45
98	362	2423	68	41	11.33
99	366	2423	68	41	11.20
100	370	2423	68	41	11.08
