Percentage	Tests_Executed	Branches_Covered	Signature_Coverage	Unique_Signatures	Unique_Sig_Ratio
1	3	855	14	3	100.00
2	7	950	14	4	57.14
3	11	957	15	5	45.45
4	14	1189	21	7	50.00
5	18	1214	30	9	50.00
6	22	1230	30	10	45.45
7	25	1233	31	11	44.00
8	29	1239	32	13	44.83
9	33	1240	35	16	48.48
10	37	1240	35	18	48.65
11	40	1242	42	20	50.00
12	44	1242	43	21	47.73
13	48	1282	43	23	47.92
14	51	1288	44	25	49.02
15	55	1288	44	25	45.45
16	59	1288	44	25	42.37
17	62	1288	44	25	40.32
18	66	1295	44	25	37.88
19	70	1297	52	27	38.57
20	74	1330	53	28	37.84
21	77	1330	53	28	36.36
22	81	1337	53	29	35.80
23	85	1344	53	31	36.47
24	88	1351	53	31	35.23
25	92	1351	53	31	33.70
26	96	1355	56	33	34.38
27	99	1362	56	33	33.33
28	103	1362	58	35	33.98
29	107	1364	58	36	33.64
30	111	1364	59	37	33.33
31	114	1364	59	37	32.46
32	118	1367	67	38	32.20
33	122	1367	67	38	31.15
34	125	1368	67	38	30.40
35	129	1370	67	39	30.23
36	133	1371	67	40	30.08
37	136	1371	67	40	29.41
38	140	1416	68	41	29.29
39	144	1416	69	42	29.17
40	148	1416	69	42	28.38
41	151	1416	69	43	28.48
42	155	1416	69	43	27.74
43	159	1416	69	44	27.67
44	162	1416	69	45	27.78
45	166	1416	69	45	27.11
46	170	1416	69	45	26.47
47	173	1416	69	45	26.01
48	177	1419	69	46	25.99
49	181	1419	69	46	25.41
50	185	1419	69	46	24.86
51	188	1419	69	46	24.47
52	192	1419	69	46	23.96
53	196	1419	70	47	23.98
54	199	1420	70	47	23.62
55	203	1420	71	48	23.65
56	207	1420	71	49	23.67
57	210	1420	71	49	23.33
58	214	1420	71	49	22.90
59	218	1420	71	49	22.48
60	222	1420	71	49	22.07
61	225	1421	71	50	22.22
62	229	1421	71	50	21.83
63	233	1421	71	50	21.46
64	236	1421	71	50	21.19
65	240	1421	71	50	20.83
66	244	1427	71	51	20.90
67	247	1427	71	52	21.05
68	251	1427	72	53	21.12
69	255	1427	72	53	20.78
70	259	1427	72	53	20.46
71	262	1427	72	53	20.23
72	266	1427	72	53	19.92
73	270	1435	72	53	19.63
74	273	1438	72	53	19.41
75	277	1439	72	53	19.13
76	281	1439	73	54	19.22
77	284	1439	73	54	19.01
78	288	1439	75	55	19.10
79	292	1442	75	55	18.84
80	296	1442	75	55	18.58
81	299	1442	75	55	18.39
82	303	1442	75	55	18.15
83	307	1442	75	55	17.92
84	310	1442	75	56	18.06
85	314	1442	75	56	17.83
86	318	1442	75	56	17.61
87	321	1442	75	56	17.45
88	325	1445	78	57	17.54
89	329	1445	78	57	17.33
90	333	1445	78	57	17.12
91	336	1445	78	57	16.96
92	340	1445	78	57	16.76
93	344	1445	78	57	16.57
94	347	1445	78	57	16.43
95	351	1445	78	57	16.24
96	355	1445	78	57	16.06
97	358	1445	80	59	16.48
98	362	1445	80	59	16.30
99	366	1445	80	60	16.39
100	370	1445	80	60	16.22
